rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,swstr_pct,csw_pct,strike_pct,f_strike_pct,zone_pct,pitches,strikes,stuff_ceiling_bump,stuff_ceiling_note,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_k_pct_vs_lhp,lineup_k_pct_vs_rhp,lineup_k_pct_vs_hand,lineup_k_vs_hand_side,lineup_k_vs_hand_pa,lineup_k_vs_hand_n,lineup_k_vs_hand_source,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct
1,Shane Drohan,675660,MIL,L,MIN,MIN@MIL,6:40 PM CT,2026-08-07T23:40:00Z,ok,prior:2026-08-06,6.5,27,3.0,season_start_est,starter,20.79239545617081,22.833752611655164,6.2052131135800135,5.459828257495257,1.871315591055373,9,9,1.0,27,,27,2.454545560947139,0.7159091219429156,9.102273121845641,3.655759977662864,24.450549,74.962064,40.1639344,39.3442622,6.25,13.306451999999998,12.123439,28.581925000000002,65.3930933137399,67.582418,44.845361,1361.0,890.0,0.0,,balanced,,clear,,1.0,,7.333333333333333,11.0,6.0,7.944444444444445,0.3,19.314641744548286,21.438263229308006,19.587155963302752,21.438263229308006,L,737.0,7,season_vs_lhp,0.219996315863824,8.722741433021806,70.09345794392523,contact_heavy,recent,0.976261563446451,neutral,0.9961953271028038,1.0,neutral,396,965,"663616,807712,665019,605137,668904,686797,702176,605170,656484",Trevor Larnach; Luke Keaschall; Kody Clemens; Josh Bell; Royce Lewis; Brooks Lee; Alan Roden; Victor Caratini; Tristan Gray,,27.402782394489552,94.84575000000001,FF,strong,True,L3 K9 11.0,savant+statcast,False,,18,0.41379310344827586,avg,avg,-1.7076045438291914,-0.6458677731371978,,"arsenal K% 20.8 (avg solo, -1.7 vs lg, -0.6 vs opp K%, opp K% vs LHP 21.4; slate #18/29 avg); stuff whiff 27.4% (strong), FF 94.8 mph; stuff ceiling (L3 K9 11.0)",1,,0,0,,0,0,,,,,,,,,,,
2,Jack Perkins,678022,ATH,R,BOS,ATH@BOS,6:10 PM CT,2026-08-07T23:10:00Z,ok,prior:2026-08-06,5.99962962962963,27,3.0,season_start_est,swingman,21.45278081042699,22.538245780123585,5.796621402335306,5.548913511272661,1.9307502729384292,9,9,1.0,27,,27,3.4208148634431006,1.7104074317215503,10.873304387372713,4.110629453328774,26.807229,73.158756,34.782608599999996,45.8937198,7.368421,16.908213,12.792512,29.719189,64.89859594383775,63.855422,42.121685,1282.0,832.0,0.0,,whiff,"K% 26.8, Contact% 73.2",medium,"high_hr,exit_hr",0.97,exit_hr,5.666666666666667,9.5625,5.333333333333333,6.374606481481481,0.3,18.732782369146005,18.71508379888268,20.244773074961753,20.244773074961753,R,1961.0,9,season_vs_rhp,0.2782928214336735,8.264462809917354,69.14600550964187,contact_heavy,recent,0.9576828623419033,neutral,1.0003198347107438,1.0,neutral,697,550,"686765,678882,677800,702332,807799,655316,680776,678011,657136",Nick Sogard; Ceddanne Rafaela; Wilyer Abreu; Caleb Durbin; Masataka Yoshida; Andruw Monasterio; Jarren Duran; Anthony Seigler; Connor Wong,,28.56849307666329,95.89887387387388,FF,strong,True,"K9 10.9, stuff whiff 28.6%",savant+statcast,False,,14,0.5517241379310345,avg,avg,-1.0472191895730099,1.2080077354652374,,"arsenal K% 21.5 (avg solo, -1.0 vs lg, +1.2 vs opp K%, opp K% vs RHP 20.2; slate #14/29 avg); stuff whiff 28.6% (strong), FF 95.9 mph; pitcher style WHIFF (K% 26.8, Contact% 73.2); stuff ceiling (K9 10.9, stuff whiff 28.6%); also swingman — fade full-outing chalk",1,,1,4,4.0,0,0,,2026-07-27 H: 5.2IP 4K,1.0,4.0,21.0,3.0,0.0,1.0,.059,.356,19.047619047619047
3,Payton Tolle,801139,BOS,L,ATH,ATH@BOS,6:10 PM CT,2026-08-07T23:10:00Z,ok,prior:2026-08-06,5.611111111111111,23,2.5555555555555554,season_avg,starter,20.401210517492263,21.9907554257064,5.7891596852715015,5.016726721256207,1.8361089465743037,9,9,1.0,23,,23,2.5841584158415842,1.0693069306930694,9.801980198019802,3.7841055829631225,26.506024,75.739645,36.5671641,47.3880597,11.811023599999999,17.948718,13.328999,26.788035999999998,68.79063719115734,64.09638600000001,45.383615,1538.0,1058.0,0.0,,whiff,"K% 26.5, FB% 47.4, IFFB% 11.8",clear,,1.0,,7.666666666666667,12.176470588235293,5.666666666666667,7.591503267973855,0.3,25.08833922261484,25.774877650897228,22.516556291390728,25.774877650897228,L,613.0,7,season_vs_lhp,0.238245237652435,7.067137809187279,66.7844522968198,neutral,recent,1.047014835249934,neutral,1.0110957597173145,1.0,neutral,425,1113,"703607,695720,641680,691016,691777,671732,661531,675961,680716",Henry Bolte; Tommy White; Jonah Heim; Tyler Soderstrom; Max Muncy; Lawrence Butler; Brian Serven; Alika Williams; Jonathan Ornelas,,27.023133826496295,96.03873626373628,FF,strong,True,"L3 K9 12.2, stuff whiff 27.0% + FB 96.0",savant+statcast,False,,20,0.3448275862068966,soft,avg,-2.098789482507737,-5.373667133404965,,"arsenal K% 20.4 (avg solo, -2.1 vs lg, -5.4 vs opp K%, opp K% vs LHP 25.8; slate #20/29 soft); stuff whiff 27.0% (strong), FF 96.0 mph; pitcher style WHIFF (K% 26.5, FB% 47.4, IFFB% 11.8); stuff ceiling (L3 K9 12.2, stuff whiff 27.0% + FB 96.0)",0,,1,4,4.0,2,9,4.5,2026-07-27 A: 5.1IP 7K; 2025-09-18 H: 3.0IP 4K; 2025-09-10 A: 2.0IP 2K,3.0,13.0,44.0,1.0,4.0,11.0,.256,.808,29.545454545454547
4,Tyler Phillips,663969,MIA,R,LAA,LAA@MIA,6:10 PM CT,2026-08-07T23:10:00Z,ok,prior:2026-08-06,5.8055555555555545,25,2.7777777777777777,season_start_est,swingman,24.048350036787376,28.2526310208669,5.626083120418663,6.301381201926994,2.164351503310864,9,9,1.0,25,,25,3.8283584269257975,1.1082090183206255,6.649254109923754,4.581286004842937,17.232376,75.465839,46.4944649,34.317343099999995,4.3010752,9.090909,11.111111,29.043601000000002,63.50210970464135,60.57441300000001,42.33474,1422.0,903.0,0.0,,balanced,,medium,"elev_bb,elev_xfip",0.95,,3.3333333333333335,6.279069767441861,4.777777777777778,4.050387596899224,0.3,26.43312101910828,24.847560975609756,23.797206414899122,23.797206414899122,R,1933.0,9,season_vs_rhp,0.21420235539258828,7.32484076433121,64.01273885350318,whiff_prone,recent,1.0572054288267652,neutral,1.0087764331210192,1.0,neutral,823,599,"685133,545361,694384,687263,687093,694208,642350,666139,672724",Wade Meckler; Mike Trout; Nolan Schanuel; Zach Neto; Vaughn Grissom; Moisés Ballesteros; Jose Siri; Josh Lowe; Oswald Peraza,,25.931836087099246,95.6828729281768,SI,avg,False,,savant+statcast,True,"K9 6.6, soft L3 3.3, elev_xFIP 4.58",5,0.8620689655172413,elite,elite,1.548350036787376,0.2511436218882537,MATCHUP_OK,"soft-contact profile (K9 6.6, soft L3 3.3, elev_xFIP 4.58) but arsenal K% 24.0 (elite solo, +1.5 vs lg, +0.3 vs opp K%, opp K% vs RHP 23.8; slate #5/29 elite); stuff whiff 25.9% (avg), SI 95.7 mph — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds; also swingman — fade full-outing chalk",0,caution,0,0,,0,0,,,,,,,,,,,
5,Nathan Eovaldi,543135,TEX,R,BAL,BAL@TEX,7:15 PM CT,2026-08-08T00:15:00Z,ok,prior:2026-08-06,5.658675142857143,23,2.5555555555555554,season_avg,starter,22.871964418184355,28.663184426210428,5.614355115093126,5.246932473092222,2.058476797636592,9,9,1.0,23,,23,2.120418932866558,1.6963351462932466,9.541885197899513,3.2710350991592057,25.328329999999998,71.414343,49.8607242,33.147632300000005,7.563025199999999,14.166667,14.940134999999998,29.567933000000004,67.10046850598647,64.72795500000001,42.84227,1921.0,1289.0,0.35,"attack-plate stuff bump +0.35 (elite whiff 30.9%, Strike% 67.1)",whiff,"K% 25.3, Contact% 71.4",medium,"high_hr,exit_hr",0.97,exit_hr,5.0,8.4375,5.333333333333333,5.305007946428571,0.3,23.26388888888889,26.611570247933884,23.56051703877791,23.56051703877791,R,1702.0,8,season_vs_rhp,0.1992705678399563,11.458333333333334,62.5,whiff_prone,recent,1.07,patient,0.95,0.9621,elevated,1097,824,"687637,624413,683002,687952,702616,665750,669236,681297,650968",Dylan Beavers; Pete Alonso; Gunnar Henderson; Christian Encarnacion-Strand; Jackson Holliday; Leody Taveras; Jeremiah Jackson; Colton Cowser; Yohel Pozo,,30.943261667540636,90.4378082191781,FC,elite,True,stuff whiff 30.9%,savant,False,,10,0.6896551724137931,strong,strong,0.3719644181843549,-0.6885526205935548,,"arsenal K% 22.9 (strong solo, +0.4 vs lg, -0.7 vs opp K%, opp K% vs RHP 23.6; slate #10/29 strong); stuff whiff 30.9% (elite), FC 90.4 mph; pitcher style WHIFF (K% 25.3, Contact% 71.4); stuff ceiling (stuff whiff 30.9%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 5.6 (≥5.5)",0,trust,2,7,3.5,1,5,5.0,2026-04-01 A: 4.0IP 5K; 2025-07-02 H: 5.0IP 5K; 2024-07-19 H: 5.0IP 2K,21.0,102.0,469.0,32.0,13.0,115.0,.266,.721,21.748400852878465
6,Carmen Mlodzinski,669387,PIT,R,NYM,NYM@PIT,5:40 PM CT,2026-08-07T22:40:00Z,ok,prior:2026-08-06,6.864988607594937,29,3.2222222222222223,season_start_est,swingman,24.63755601741209,26.069790167611657,5.604982022486251,7.271582681309472,2.2173800415670883,9,9,1.0,29,,29,2.9575973326125578,0.6678445589770292,7.250883783179174,4.29460625289717,18.905473,80.704225,40.3448275,37.5862068,11.0091743,13.013699,8.703939,27.318933,63.97712833545108,61.691542,43.293071,1574.0,1007.0,0.0,,balanced,,low,elev_xfip,1.0,,1.3333333333333333,2.25,5.333333333333333,1.7162471518987343,0.3,25.31645569620253,21.608832807570977,21.670702179176754,21.670702179176754,R,1652.0,7,season_vs_rhp,0.2554854964262696,10.443037974683545,63.607594936708864,whiff_prone,recent,1.0282026443444088,three_true,0.9882132911392405,0.9807126582278481,elevated,964,609,"596019,666182,673357,701807,682626,543760,676572,620443,665506",Francisco Lindor; Bo Bichette; Luis Robert Jr.; Carson Benge; Francisco Alvarez; Marcus Semien; Eric Wagaman; Luis Torrens; Cristian Pache,,20.914186002974784,95.03386363636362,FF,soft,False,,savant+statcast,False,,4,0.896551724137931,elite,elite,2.1375560174120913,2.9668538382353375,,"arsenal K% 24.6 (elite solo, +2.1 vs lg, +3.0 vs opp K%, opp K% vs RHP 21.7; slate #4/29 elite); stuff whiff 20.9% (soft), FF 95.0 mph; total caution — Exp K 5.6 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5; also swingman — fade full-outing chalk",0,caution,2,3,1.5,1,8,8.0,2026-03-29 A: 4.1IP 8K; 2025-06-29 H: 3.2IP 2K; 2024-07-07 H: 1.0IP 1K,3.0,11.0,37.0,0.0,0.0,9.0,.250,.604,29.72972972972973
7,Parker Messick,800048,CLE,L,CWS,CLE@CWS,6:40 PM CT,2026-08-07T23:40:00Z,ok,prior:2026-08-06,5.742997978234356,22,2.4444444444444446,season_avg,starter,23.40117801805464,28.059959985962557,5.577622167770246,5.460307483677265,2.106106021624918,9,9,1.0,22,,22,2.568123594788978,0.7634962038561827,8.884319463053762,3.469504728588234,24.806202,77.21123800000001,44.4444444,36.5497076,17.599999999999998,16.0,10.900946000000001,26.879044,64.06172224987556,60.465115999999995,40.807175,2009.0,1287.0,0.0,,whiff,K% 24.8,clear,,1.0,,6.0,9.169811320754716,5.888888888888889,5.851356430653872,0.3,27.24458204334365,24.526198439241917,25.700655933214072,24.526198439241917,L,897.0,9,season_vs_lhp,0.22649272853849106,11.145510835913313,58.204334365325074,whiff_prone,recent,1.07,three_true,0.9843496904024768,0.9743904024767802,elevated,522,1486,"805367,808959,678246,545341,695657,663698,686668,695731,682668",Chase Meidroth; Munetaka Murakami; Miguel Vargas; Randal Grichuk; Colson Montgomery; Joey Bart; Brenton Doyle; Braden Montgomery; Luisangel Acuña,,24.506787772656644,94.1247669773635,FF,avg,False,,savant+statcast,False,,8,0.7586206896551724,strong,strong,0.9011780180546403,-1.1250204211872763,,"arsenal K% 23.4 (strong solo, +0.9 vs lg, -1.1 vs opp K%, opp K% vs LHP 24.5; slate #8/29 strong); stuff whiff 24.5% (avg), FF 94.1 mph; pitcher style WHIFF (K% 24.8); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 5.6 (≥5.5)",0,trust,2,7,3.5,1,10,10.0,2026-07-04 H: 5.0IP 3K; 2026-06-23 A: 7.2IP 10K; 2025-09-13 H: 6.0IP 4K,3.0,17.0,74.0,5.0,1.0,15.0,.217,.589,22.972972972972972
8,Tyler Mahle,641816,ATL,R,NYY,ATL@NYY,6:05 PM CT,2026-08-07T23:05:00Z,ok,prior:2026-08-05,4.939145592225889,21,2.3333333333333335,season_avg,starter,27.02867876453338,29.5682765776469,5.399857888039698,5.681977082112346,2.4325810888080044,9,9,1.0,21,,21,3.5176057283000066,1.3309859512486513,8.461267832937853,4.109275565356286,22.029703,80.085349,43.173431699999995,38.007380000000005,8.737864,12.681159000000001,8.860759,26.329113999999997,62.278481012658226,57.673266999999996,39.860583,1580.0,984.0,0.0,,balanced,,medium,"elev_bb,elev_hr",0.95,,5.333333333333333,8.639999999999999,5.555555555555556,4.741579768536853,0.3,25.082508250825082,27.002967359050444,23.83177570093458,23.83177570093458,R,1926.0,8,season_vs_rhp,0.20814014786183344,9.570957095709572,64.02640264026402,whiff_prone,recent,1.0589609841319785,three_true,0.9930097359735973,0.9885613861386139,elevated,845,733,"663757,700250,671277,671218,682987,665862,641857,806146,669224",Trent Grisham; Ben Rice; Luis García Jr.; Heliot Ramos; Spencer Jones; Jazz Chisholm Jr.; Ryan McMahon; George Lombard Jr.; Austin Wells,,20.81656863316056,92.64423841059602,FF,soft,False,,savant+statcast,False,,1,1.0,elite,elite,4.528678764533382,3.1969030635988034,,"arsenal K% 27.0 (elite solo, +4.5 vs lg, +3.2 vs opp K%, opp K% vs RHP 23.8; slate #1/29 elite); stuff whiff 20.8% (soft), FF 92.6 mph",0,,1,5,5.0,1,5,5.0,2026-03-28 H: 4.0IP 5K; 2023-04-15 A: 4.1IP 5K,2.0,10.0,38.0,4.0,2.0,9.0,.265,.901,26.31578947368421
9,Max Fried,608331,NYY,L,ATL,ATL@NYY,6:05 PM CT,2026-08-07T23:05:00Z,ok,prior:2026-08-06,5.538461538461538,21,2.3333333333333335,season_avg,starter,20.867662136208413,20.84591061938994,5.289046441424121,4.3513850262102824,1.8780895922587573,9,9,1.0,21,,21,2.76,0.12,8.16,3.6435650632778804,23.448276,77.425743,48.7046632,34.7150259,11.9402985,19.28934,10.19678,27.370304,62.61180679785331,54.827586,39.892665,1118.0,700.0,0.0,,balanced,,clear,short_recent_ip,0.96,short_recent_ip,6.0,12.15,4.444444444444444,7.476923076923077,0.3,20.18348623853211,22.035573122529645,20.97222222222222,22.035573122529645,L,1012.0,8,season_vs_lhp,0.25112846566069763,6.72782874617737,70.9480122324159,neutral,recent,0.9670592912796437,aggressive,1.0125773700305811,1.0,low,257,861,"686948,660670,621566,671739,643289,573262,642086,663586,805347",Drake Baldwin; Ronald Acuña Jr.; Matt Olson; Michael Harris II; Mauricio Dubón; Mike Yastrzemski; Dominic Smith; Austin Riley; Jim Jarvis,,23.85799412893234,91.90862745098038,FC,avg,True,L3 K9 12.2,savant+statcast,False,,16,0.4827586206896552,avg,avg,-1.6323378637915873,-1.1679109863212318,,"arsenal K% 20.9 (avg solo, -1.6 vs lg, -1.2 vs opp K%, opp K% vs LHP 22.0; slate #16/29 avg); stuff whiff 23.9% (avg), FC 91.9 mph; stuff ceiling (L3 K9 12.2)",0,,0,0,,0,0,,,,,,,,,,,
10,Zebby Matthews,805673,MIN,R,MIL,MIN@MIL,6:40 PM CT,2026-08-07T23:40:00Z,ok,prior:2026-08-06,5.302757803520262,22,2.4444444444444446,season_avg,starter,21.75688084260484,26.268721332117902,5.166564656647055,4.9458668446140415,1.9581192758344355,9,9,1.0,22,,22,2.888888888888889,1.7777777777777777,7.666666666666667,4.253276958840865,20.234604,79.02439,41.4937759,39.4190871,8.4210526,9.876543,9.90023,26.247122,63.62240982348427,67.15542500000001,42.824252,1303.0,829.0,0.0,,balanced,,medium,"high_hr,elev_xfip,exit_hr",0.97,exit_hr,5.0,9.642857142857142,4.666666666666667,5.681526218057423,0.3,23.78223495702006,23.088923556942277,24.097035040431265,24.097035040431265,R,1855.0,9,season_vs_rhp,0.22120933331686446,12.893982808022923,60.458452722063036,whiff_prone,recent,1.07,patient,0.95,0.9448722063037249,elevated,712,591,"668930,694192,669003,683734,592885,800325,596142,666152,806198",Brice Turang; Jackson Chourio; Garrett Mitchell; Andrew Vaughn; Christian Yelich; Luis Lara; Gary Sánchez; David Hamilton; Cooper Pratt,,22.457876559714798,95.19064449064449,FF,avg,False,,savant+statcast,False,,12,0.6206896551724138,avg,avg,-0.7431191573951601,-2.3401541978264255,,"arsenal K% 21.8 (avg solo, -0.7 vs lg, -2.3 vs opp K%, opp K% vs RHP 24.1; slate #12/29 avg); stuff whiff 22.5% (avg), FF 95.2 mph",0,,0,0,,1,5,5.0,2025-05-18 A: 3.0IP 5K,1.0,5.0,17.0,3.0,0.0,5.0,.385,.885,29.41176470588235
11,Roki Sasaki,808963,LAD,R,AZ,LAD@AZ,8:40 PM CT,2026-08-08T01:40:00Z,ok,prior:2026-08-06,4.8015,20,2.2222222222222223,season_avg,starter,24.785374845717936,27.045217391304348,4.92003521758852,4.627871739412172,2.230683736114614,9,9,1.0,20,,20,3.5454545454545454,1.8181818181818181,9.181818181818182,4.097148213452764,23.877069000000002,72.865497,41.3043478,40.2173913,12.6126126,12.230215999999999,13.647059,27.588235,64.3529411764706,60.283688000000005,42.470588,1700.0,1094.0,0.0,,fly_popup,"FB% 40.2, IFFB% 12.6",medium,"elev_bb,high_hr,exit_hr",0.9215,exit_hr,7.0,10.5,6.0,5.60175,0.3,19.35483870967742,17.16216216216216,19.290051377860813,19.290051377860813,R,2141.0,9,season_vs_rhp,0.2411733567958981,8.064516129032258,69.89247311827957,contact_heavy,recent,0.9502199422040479,neutral,1.0021193548387097,1.0,neutral,991,709,"672695,682998,672515,606466,663457,571448,596146,694374,814439",Geraldo Perdomo; Corbin Carroll; Gabriel Moreno; Ketel Marte; Lars Nootbaar; Nolan Arenado; Max Kepler; Tim Tawa; Ryan Waldschmidt,,29.915929762949954,97.81364902506965,FF,strong,True,"L3 K9 10.5, stuff whiff 29.9%",savant+statcast,False,,2,0.9655172413793104,elite,elite,2.2853748457179357,5.495323467857123,,"arsenal K% 24.8 (elite solo, +2.3 vs lg, +5.5 vs opp K%, opp K% vs RHP 19.3; slate #2/29 elite); stuff whiff 29.9% (strong), FF 97.8 mph; pitcher style FLY/popup (FB% 40.2, IFFB% 12.6); stuff ceiling (L3 K9 10.5, stuff whiff 29.9%)",2,,0,0,,2,2,1.0,2025-09-24 A: 1.0IP 2K; 2025-05-09 A: 4.0IP 0K,2.0,2.0,23.0,2.0,2.0,5.0,.250,.998,8.695652173913043
12,Drew Rasmussen,656876,TB,R,SEA,TB@SEA,8:45 PM CT,2026-08-08T01:45:00Z,ok,prior:2026-08-06,5.461626282761166,22,2.4444444444444446,season_avg,starter,19.581225043182698,22.139617125850133,4.919640248717903,3.907128193733482,1.762310253886443,9,9,1.0,22,,22,1.5340909755919618,0.9204545853551772,9.357954951110967,3.1354218756380443,26.464208,76.805252,44.6601941,36.245954600000005,9.8214285,16.613419,11.648352,27.857143,66.7032967032967,66.59436,43.571429,1820.0,1214.0,0.0,,whiff,K% 26.5,clear,,1.0,,8.0,12.0,6.0,7.282168377014888,0.3,19.476744186046513,21.240105540897098,21.48634984833165,21.48634984833165,R,1978.0,9,season_vs_rhp,0.23873536785472488,10.174418604651162,68.8953488372093,neutral,recent,0.9828646919089175,patient,0.9596953488372093,0.9775069767441861,elevated,1164,656,"621493,668227,686527,677594,702284,642215,640902,660844,806068",Taylor Ward; Randy Arozarena; Dominic Canzone; Julio Rodríguez; Cole Young; Weston Wilson; Jhonny Pereda; Leo Rivas; Colt Emerson,,25.445894861193146,90.10526315789474,FC,avg,True,L3 K9 12.0,savant,False,,21,0.3103448275862069,soft,soft,-2.918774956817302,-1.9051248051489509,SPIKE,"arsenal K% 19.6 (soft solo, -2.9 vs lg, -1.9 vs opp K%, opp K% vs RHP 21.5; slate #21/29 soft); stuff whiff 25.4% (avg), FC 90.1 mph; pitcher style WHIFF (K% 26.5); SPIKE (L3 K9 12.0) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; K-first arm — confirms overs / SPIKE caution on soft unders",0,,1,2,2.0,2,6,3.0,2025-09-02 H: 5.0IP 2K; 2025-08-08 A: 6.0IP 4K; 2024-08-28 A: 2.0IP 2K,6.0,26.0,94.0,3.0,3.0,17.0,.189,.535,27.659574468085108
13,Logan Gilbert,669302,SEA,R,TB,TB@SEA,8:45 PM CT,2026-08-08T01:45:00Z,ok,prior:2026-08-05,6.03030303030303,24,2.6666666666666665,season_avg,starter,19.290720150360148,22.18549358982838,4.899049410871859,4.229625317943102,1.7361648135324135,9,9,1.0,24,,24,1.8994976330855966,1.1532664200876837,9.429648964246354,3.4693624008249384,26.628352,72.82197000000001,38.150289,43.3526011,12.666666600000001,14.285713999999999,13.884857,28.688921,66.08611514271891,69.157088,44.412192,2067.0,1366.0,0.0,,whiff,"K% 26.6, Contact% 72.8, FB% 43.4, IFFB% 12.7",clear,,1.0,,6.666666666666667,9.642857142857142,6.222222222222222,6.461038961038961,0.3,18.154761904761905,17.305585980284775,17.465156794425088,17.465156794425088,R,2296.0,9,season_vs_rhp,0.27707017977199505,6.845238095238095,71.72619047619048,contact_heavy,recent,0.9299999999999999,aggressive,1.0116380952380952,1.0,low,1218,849,"683748,666018,691406,689414,802415,656775,680700,670764,663743",Victor Mesa; Jonathan Aranda; Junior Caminero; Liam Hicks; Chandler Simpson; Cedric Mullins; Richie Palacios; Taylor Walls; Nick Fortes,,30.000571611714623,96.08827160493827,FF,elite,True,stuff whiff 30.0%,savant+statcast,False,,22,0.27586206896551724,soft,soft,-3.2092798496398522,1.82556335593506,SPIKE,"arsenal K% 19.3 (soft solo, -3.2 vs lg, +1.8 vs opp K%, opp K% vs RHP 17.5; slate #22/29 soft); stuff whiff 30.0% (elite), FF 96.1 mph; pitcher style WHIFF (K% 26.6, Contact% 72.8, FB% 43.4, IFFB% 12.7); SPIKE (stuff whiff 30.0%) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; K-first arm — confirms overs / SPIKE caution on soft unders",1,,1,10,10.0,1,5,5.0,2026-07-11 A: 6.2IP 5K; 2024-08-27 H: 6.0IP 10K,6.0,41.0,143.0,12.0,2.0,32.0,.248,.696,28.67132867132867
14,Ronel Blanco,669854,HOU,R,SD,HOU@SD,8:40 PM CT,2026-08-08T01:40:00Z,ok,prior:2026-08-06,4.4814,19,2.111111111111111,season_shrunk,starter,24.67078269447106,28.69974458544252,4.857467351507871,4.486896216439815,2.2203704425023956,9,9,1.0,19,,19,4.909091441099366,3.068182150687104,9.818182882198732,4.212578256265706,25.806452,76.984127,45.9459459,43.243243199999995,0.0,5.263158,11.462451,26.87747,65.61264822134387,69.354839,41.897233,253.0,166.0,0.25,"attack-plate stuff bump +0.25 (strong whiff 27.8%, Strike% 65.6)",whiff,K% 25.8,high,"high_bb,high_hr,elev_xfip,exit_hr",0.873,exit_hr,5.333333333333333,9.818181818181817,4.888888888888889,4.8888,0.3,17.647058823529413,20.046893317702228,20.415647921760392,20.415647921760392,R,2454.0,9,season_vs_rhp,0.27974049826180436,8.123249299719888,70.0280112044818,contact_heavy,recent,0.9511770777726969,neutral,1.001590756302521,1.0,neutral,190,63,"665487,650859,592518,664034,701538,593428,657757,666023,630105",Fernando Tatis Jr.; Luis Rengifo; Manny Machado; Ty France; Jackson Merrill; Xander Bogaerts; Gavin Sheets; Freddy Fermin; Jake Cronenworth,statcast_fallback,27.8465413971892,93.63222222222223,FF,strong,False,,statcast,False,,3,0.9310344827586207,elite,elite,2.170782694471061,4.255134772710669,,"arsenal K% 24.7 (elite solo, +2.2 vs lg, +4.3 vs opp K%, opp K% vs RHP 20.4; slate #3/29 elite); stuff whiff 27.8% (strong), FF 93.6 mph; pitcher style WHIFF (K% 25.8); K-first arm — confirms overs / SPIKE caution on soft unders",1,,0,0,,0,0,,,,,,,,,,,
