rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent
1,Hunter Dobbins,690928,STL,R,NYY,STL@NYY,6:05 PM CT,2026-08-04T23:05:00Z,ok,prior:2026-08-03,7.0,30,3.3333333333333335,season_shrunk,starter,27.905172565420585,29.62200886892316,8.127021902554663,8.870900854581194,2.5114655308878526,9,9,1.0,30,,30,2.9405941982360972,1.0693069811767626,8.5544558494141,3.853141929232894,22.377622,79.850746,45.4545454,35.3535353,11.4285714,13.131313,balanced,,clear,,1.0,,4.666666666666667,8.217391304347826,5.111111111111111,6.391304347826088,0.3,26.126126126126128,0.20962087976261173,6.906906906906907,65.46546546546547,whiff_prone,recent,1.0697299151944821,free_swing,1.0111447447447448,1.0,low,291,278,"663757,700250,671277,682987,691176,665862,641857,676609,669224",Trent Grisham; Ben Rice; Luis García Jr.; Spencer Jones; Jasson Domínguez; Jazz Chisholm Jr.; Ryan McMahon; José Caballero; Austin Wells,statcast_fallback,23.02742300362144,95.24833333333333,FF,avg,False,,statcast,False,,1,1.0,elite,elite,5.405172565420585,1.7790464392944578,,"arsenal K% 27.9 (elite solo, +5.4 vs lg, +1.8 vs opp K%, opp K% 26.1; slate #1/28 elite); stuff whiff 23.0% (avg), FF 95.2 mph",2.0,5.0,39.0,1.0,2.0,6.0,.158,.495,12.820512820512821,1,5,5.0,1,0,0.0,2025-06-14 H: 6.0IP 5K; 2025-06-08 A: 5.0IP 0K
2,Zack Littell,641793,WSH,R,PHI,WSH@PHI,5:40 PM CT,2026-08-04T22:40:00Z,ok,prior:2026-08-03,6.703018558904907,29,3.2222222222222223,season_start_est,starter,26.676051244904695,29.172920608635447,6.913792580721997,8.226559299902862,2.4008446120414226,9,9,1.0,29,,29,2.8958991233247855,2.129337590679989,5.791798246649571,5.173228627912488,14.977974,84.707288,35.0724637,46.376811499999995,11.25,10.888252,fly_popup,"FB% 46.4, IFFB% 11.2",high,"high_hr,high_xfip,exit_hr",0.97,exit_hr,3.0,5.170212765957446,5.222222222222222,3.8506702359666485,0.3,23.547400611620795,0.23748938549397264,9.480122324159021,63.30275229357798,whiff_prone,recent,1.0551505894063233,neutral,0.9893788990825688,0.9905590214067278,mild,980,708,"607208,656941,547180,664761,650559,681082,624641,656537,596117",Trea Turner; Kyle Schwarber; Bryce Harper; Alec Bohm; Bryan De La Cruz; Bryson Stott; Edmundo Sosa; Derek Hill; Garrett Stubbs,,17.123773876202787,91.66185101580135,FF,soft,False,,savant+statcast,True,"K9 5.8, soft L3 3.0, elev_xFIP 5.17",2,0.9642857142857143,elite,elite,4.176051244904695,3.1286506332839004,MATCHUP_OK,"soft-contact profile (K9 5.8, soft L3 3.0, elev_xFIP 5.17) but arsenal K% 26.7 (elite solo, +4.2 vs lg, +3.1 vs opp K%, opp K% 23.5; slate #2/28 elite); stuff whiff 17.1% (soft), FF 91.7 mph; pitcher style FLY/popup (FB% 46.4, IFFB% 11.2) — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds; fly/popup out-getter — BIP outs over Ks; same under cue as GB style",8.0,9.0,69.0,5.0,3.0,18.0,.281,.802,13.043478260869565,2,7,3.5,2,1,0.5,2026-06-23 H: 4.0IP 5K; 2026-03-31 A: 5.0IP 1K; 2023-07-05 H: 2.0IP 2K; 2023-05-07 A: 1.0IP 0K
3,Blade Tidwell,694918,SF,R,TEX,SF@TEX,7:05 PM CT,2026-08-05T00:05:00Z,ok,prior:2026-08-03,5.438014179104478,23,2.5555555555555554,default,starter,26.195760756811868,27.684866868891135,6.552911774404691,6.552911774404691,2.3576184681130683,9,9,1.0,23,,23,2.25,0.75,7.5,4.212262172996999,21.276596,72.413793,36.3636363,42.4242424,35.7142857,30.303029999999996,fly_popup,"FB% 42.4, IFFB% 35.7",low,elev_xfip,1.0,,,,,,,27.16417910447761,0.2362882036901262,9.552238805970148,61.492537313432834,whiff_prone,recent,1.07,three_true,0.9931126865671642,0.9887298507462686,elevated,96,86,"592626,694671,608369,607043,694497,669394,677649,642851,670032",Joc Pederson; Wyatt Langford; Corey Seager; Brandon Nimmo; Evan Carter; Jake Burger; Ezequiel Duran; Austin Wynns; Nicky Lopez,statcast_fallback,31.919191919191924,96.2236842105263,FF,elite,True,stuff whiff 31.9%,statcast,False,,5,0.8571428571428571,elite,elite,3.695760756811868,-0.9684183476657431,,"arsenal K% 26.2 (elite solo, +3.7 vs lg, -1.0 vs opp K%, opp K% 27.2; slate #5/28 elite); stuff whiff 31.9% (elite), FF 96.2 mph; pitcher style FLY/popup (FB% 42.4, IFFB% 35.7); stuff ceiling (stuff whiff 31.9%)",,,,,,,,,,0,0,,0,0,,
4,Sean Manaea,640455,NYM,L,CLE,NYM@CLE,5:40 PM CT,2026-08-04T22:40:00Z,ok,prior:2026-08-02,7.0,30,3.3333333333333335,season_start_est,swingman,23.825408837217406,22.644359799973483,6.3460387475294056,6.545769639327722,2.1442867953495663,9,9,1.0,30,,30,2.9454547497457853,1.2763637248898403,8.640000599254304,4.252280693766157,21.945137,79.799247,39.0334572,39.4052044,10.3773584,16.117216,balanced,,medium,"elev_hr,elev_xfip",1.0,,4.666666666666667,7.56,5.555555555555556,5.88,0.3,19.26345609065156,0.2372226329902266,8.78186968838527,69.40509915014164,contact_heavy,recent,0.95531473835301,neutral,0.9956631728045325,1.0,neutral,543,1065,"680757,608070,800050,683953,700932,677587,672356,672275,690984",Steven Kwan; José Ramírez; Chase DeLauter; Travis Bazzana; Kyle Manzardo; Brayan Rocchio; Gabriel Arias; Patrick Bailey; Petey Halpin,,21.246337975749743,90.76587436332767,FF,soft,False,,savant+statcast,False,,9,0.7142857142857143,strong,strong,1.325408837217406,4.561952746565847,,"arsenal K% 23.8 (strong solo, +1.3 vs lg, +4.6 vs opp K%, opp K% 19.3; slate #9/28 strong); stuff whiff 21.2% (soft), FF 90.8 mph",7.0,42.0,160.0,11.0,4.0,32.0,.221,.646,26.25,2,8,4.0,0,0,,2025-08-04 H: 5.2IP 3K; 2023-09-12 H: 5.2IP 5K
5,Patrick Sandoval,663776,BOS,L,CWS,CWS@BOS,6:10 PM CT,2026-08-04T23:10:00Z,ok,prior:2026-08-02,4.9,22,2.4444444444444446,season_shrunk,starter,26.230796466640978,29.596999213571507,5.81351063612641,6.157287921739028,2.3607716819976883,9,9,1.0,22,,22,2.8421052631578947,1.4210526315789473,9.473684210526315,3.945929801934644,23.255814,77.56410299999999,34.482758600000004,39.6551724,26.086956500000003,16.949153,balanced,,low,elev_hr,1.0,,5.0,9.204545454545453,4.888888888888889,5.011363636363636,0.3,26.865671641791046,0.19171927226395735,8.059701492537313,62.38805970149254,whiff_prone,recent,1.07,neutral,1.0021626865671642,1.0,neutral,87,230,"803011,808959,678246,695657,643217,671976,805367,677592,691011",Sam Antonacci; Munetaka Murakami; Miguel Vargas; Colson Montgomery; Andrew Benintendi; Tristan Peters; Chase Meidroth; Everson Pereira; Drew Romo,statcast_fallback,26.910878897705974,93.90933333333334,FF,strong,False,,statcast,False,,4,0.8928571428571429,elite,elite,3.730796466640978,-0.6348751751500679,,"arsenal K% 26.2 (elite solo, +3.7 vs lg, -0.6 vs opp K%, opp K% 26.9; slate #4/28 elite); stuff whiff 26.9% (strong), FF 93.9 mph",4.0,18.0,90.0,7.0,0.0,24.0,.300,.698,20.0,1,8,8.0,1,5,5.0,2026-07-09 A: 4.1IP 5K; 2023-06-29 H: 5.0IP 8K
6,Joey Cantillo,676282,CLE,L,NYM,NYM@CLE,5:40 PM CT,2026-08-04T22:40:00Z,ok,prior:2026-08-02,4.447826086956522,19,2.111111111111111,season_avg,starter,25.24091250353605,26.510645657159827,5.626524649375564,5.17857558606447,2.2716821253182444,9,9,1.0,19,,19,4.2756599197087874,1.0293255362261895,9.818182037849807,3.978750672613434,25.203252,69.875425,44.117647,38.5620915,10.1694915,16.346154,whiff,"K% 25.2, Contact% 69.9",medium,high_bb,0.9,,6.333333333333333,13.5,4.222222222222222,6.6717391304347835,0.3,25.925925925925927,0.21757674040105907,8.831908831908832,63.53276353276353,whiff_prone,recent,1.07,neutral,0.9952128205128206,1.0,neutral,446,1531,"805999,596019,666182,701807,673357,676724,543760,593871,682626",A.J. Ewing; Francisco Lindor; Bo Bichette; Carson Benge; Luis Robert Jr.; Jared Young; Marcus Semien; Jorge Polanco; Francisco Alvarez,,29.765712840523157,92.08706395348837,FF,strong,True,"L3 K9 13.5, stuff whiff 29.8%",savant+statcast,False,,7,0.7857142857142857,strong,elite,2.7409125035360518,-0.6850134223898756,,"arsenal K% 25.2 (elite solo, +2.7 vs lg, -0.7 vs opp K%, opp K% 25.9; slate #7/28 strong); stuff whiff 29.8% (strong), FF 92.1 mph; pitcher style WHIFF (K% 25.2, Contact% 69.9); stuff ceiling (L3 K9 13.5, stuff whiff 29.8%); K-first arm — confirms overs / SPIKE caution on soft unders",,,,,,,,,,0,0,,0,0,,
7,Freddy Peralta,642547,TB,R,COL,TB@COL,7:40 PM CT,2026-08-05T00:40:00Z,ok,prior:2026-08-03,4.908333333333333,22,2.4444444444444446,season_avg,starter,23.69523707749841,27.67105337688965,5.445584192600289,5.470608080021319,2.132571336974857,9,9,1.0,22,,22,3.8005865952966995,1.3460410858342478,8.947214276427648,4.267833540228923,22.070313,75.514403,40.935672499999995,38.3040935,11.4503816,16.763006,balanced,,medium,"elev_bb,elev_hr,elev_xfip",0.95,,5.0,9.878048780487806,4.555555555555555,5.38719512195122,0.3,24.03314917127072,0.25775599427594764,6.3535911602209945,66.29834254143647,neutral,recent,1.0282239848564274,free_swing,1.015571270718232,1.0,low,1342,751,"664983,691720,694249,696100,666160,650489,671289,687859,678662",Jake McCarthy; Kyle Karros; Cole Carrigg; Hunter Goodman; Mickey Moniak; Willi Castro; Tyler Freeman; Troy Johnston; Ezequiel Tovar,,26.84194019537017,94.17967770814681,FF,strong,False,,savant+statcast,False,,10,0.6785714285714286,strong,strong,1.1952370774984082,-0.33791209377231013,,"arsenal K% 23.7 (strong solo, +1.2 vs lg, -0.3 vs opp K%, opp K% 24.0; slate #10/28 strong); stuff whiff 26.8% (strong), FF 94.2 mph",10.0,67.0,208.0,20.0,8.0,40.0,.215,.680,32.21153846153846,3,25,8.333333333333334,3,17,5.666666666666667,2026-05-06 A: 5.0IP 1K; 2026-04-24 H: 5.2IP 8K; 2025-04-08 A: 5.0IP 6K; 2024-09-08 H: 4.2IP 4K; 2023-08-07 H: 7.0IP 13K; 2023-05-02 A: 6.0IP 10K
8,Tarik Skubal,669373,LAD,L,CHC,LAD@CHC,7:05 PM CT,2026-08-05T00:05:00Z,ok,prior:2026-08-03,5.916397168059425,23,2.5555555555555554,season_avg,starter,20.53356703829905,21.92537534769738,5.373435538841976,4.416280901659875,1.8480210334469147,9,9,1.0,23,,23,1.3034483101535221,0.9310345072525158,10.800000284129183,2.503759778440664,31.016043,69.23076900000001,44.206008499999996,33.9055793,8.8607594,15.0,whiff,"K% 31.0, Contact% 69.2",clear,,1.0,,9.0,11.571428571428571,7.0,7.606796358933545,0.3,22.00557103064067,0.28345142513849186,10.027855153203342,67.40947075208913,neutral,recent,0.9905104027683018,patient,0.9616739554317549,0.9792657381615599,elevated,326,1105,"691718,673548,608324,608348,683737,663538,699393,621020,682634",Pete Crow-Armstrong; Seiya Suzuki; Alex Bregman; Carson Kelly; Michael Busch; Nico Hoerner; Pedro Ramírez; Dansby Swanson; Kevin Alcántara,,31.109945612416908,96.66845124282985,FF,elite,True,"K9 10.8, L3 K9 11.6, stuff whiff 31.1%",savant+statcast,False,,17,0.42857142857142855,avg,avg,-1.9664329617009493,-1.4720039923416195,,"arsenal K% 20.5 (avg solo, -2.0 vs lg, -1.5 vs opp K%, opp K% 22.0; slate #17/28 avg); stuff whiff 31.1% (elite), FF 96.7 mph; pitcher style WHIFF (K% 31.0, Contact% 69.2); stuff ceiling (K9 10.8, L3 K9 11.6, stuff whiff 31.1%)",3.0,18.0,81.0,2.0,1.0,22.0,.282,.719,22.22222222222222,2,13,6.5,0,0,,2025-06-06 H: 7.2IP 6K; 2023-08-23 H: 6.0IP 7K
9,MacKenzie Gore,669022,TEX,L,SF,SF@TEX,7:05 PM CT,2026-08-05T00:05:00Z,ok,prior:2026-08-03,5.234230303030304,23,2.5555555555555554,season_avg,starter,23.11247490240394,24.610201117527712,5.192832462332154,4.751837406370119,2.0801227412163543,9,9,1.0,23,,23,3.228260936493686,1.1739130678158858,9.978261076435029,3.8580730430790484,26.003823999999998,76.810176,37.2372372,42.3423423,8.510638199999999,14.540059,whiff,K% 26.0,clear,,1.0,,7.0,10.69811320754717,5.888888888888889,6.221820926243569,0.3,15.530303030303031,0.2568690148235602,9.848484848484848,69.6969696969697,contact_heavy,recent,0.9299999999999999,patient,0.9640954545454545,0.9814181818181819,elevated,502,1566,"801501,808982,642715,646240,691740,687551,678545,687529,683766",Nate Furman; Jung Hoo Lee; Willy Adames; Rafael Devers; Daniel Susac; Drew Gilbert; Osleivis Basabe; Grant McCray; Christian Koss,,25.679052446697348,95.39957537154989,FF,avg,True,L3 K9 10.7,savant+statcast,False,,11,0.6428571428571429,avg,strong,0.6124749024039389,7.582171872100908,,"arsenal K% 23.1 (strong solo, +0.6 vs lg, +7.6 vs opp K%, opp K% 15.5; slate #11/28 avg); stuff whiff 25.7% (avg), FF 95.4 mph; pitcher style WHIFF (K% 26.0); stuff ceiling (L3 K9 10.7); K-first arm — confirms overs / SPIKE caution on soft unders",6.0,41.0,131.0,11.0,4.0,28.0,.237,.703,31.297709923664122,3,23,7.666666666666667,1,10,10.0,2025-08-10 A: 6.0IP 10K; 2025-05-23 H: 6.0IP 9K; 2024-08-06 H: 5.0IP 6K; 2023-07-23 H: 5.0IP 8K
10,Jesús Luzardo,666200,PHI,L,WSH,WSH@PHI,5:40 PM CT,2026-08-04T22:40:00Z,ok,prior:2026-08-03,5.55074740626605,23,2.5555555555555554,season_avg,starter,20.955796526012684,22.01817296669303,5.176124249276846,4.669550850176576,1.8860216873411415,9,9,1.0,23,,23,2.867875874405767,0.8393783047041269,10.981866153212327,2.997490064723018,29.236499,70.57026499999999,50.461538399999995,30.4615384,9.090909,16.363636,whiff,"K% 29.2, Contact% 70.6",clear,,1.0,,7.0,10.30909090909091,6.111111111111111,6.3581288471774755,0.3,19.322033898305083,0.2310637767287817,12.542372881355933,66.10169491525424,neutral,recent,0.9872001575127197,patient,0.95,0.9490915254237288,elevated,518,1613,"695578,694673,677588,682928,660688,695734,683083,678391,696285",James Wood; Abimelec Ortiz; José Tena; CJ Abrams; Keibert Ruiz; Daylen Lile; Nasim Nuñez; Jorbit Vivas; Jacob Young,,31.84655091506335,97.02262357414448,FF,elite,True,"K9 11.0, L3 K9 10.3, stuff whiff 31.8%",savant,False,,15,0.5,avg,avg,-1.5442034739873165,1.6337626277076005,,"arsenal K% 21.0 (avg solo, -1.5 vs lg, +1.6 vs opp K%, opp K% 19.3; slate #15/28 avg); stuff whiff 31.8% (elite), FF 97.0 mph; pitcher style WHIFF (K% 29.2, Contact% 70.6); stuff ceiling (K9 11.0, L3 K9 10.3, stuff whiff 31.8%)",10.0,57.0,230.0,21.0,11.0,57.0,.273,.832,24.782608695652176,1,7,7.0,5,38,7.6,2026-06-23 A: 6.2IP 13K; 2025-08-14 A: 6.0IP 7K; 2025-03-29 A: 5.0IP 11K; 2024-06-16 A: 5.0IP 2K; 2023-06-18 A: 6.0IP 5K; 2023-05-16 H: 6.0IP 7K
11,Trey Yesavage,702056,TOR,R,HOU,TOR@HOU,7:10 PM CT,2026-08-05T00:10:00Z,ok,prior:2026-08-03,4.749540524522152,19,2.111111111111111,season_avg,starter,25.60623143581717,28.63240188318976,5.087453715868689,4.580908097368454,2.3045608292235453,9,9,1.0,19,,19,4.418181940756557,0.9818182090570127,8.934545702418815,4.582566684634148,24.010554,71.507607,34.3220338,49.1525423,11.206896500000001,15.767634999999999,fly_popup,"FB% 49.2, IFFB% 11.2",medium,"high_bb,elev_xfip",0.9,,7.333333333333333,11.879999999999999,5.555555555555556,6.26939349236924,0.3,21.15869017632242,0.2879520356781398,10.075566750629722,65.99496221662469,neutral,recent,0.9932235779822283,patient,0.9610298488664988,0.9786931989924433,elevated,847,675,"665161,670541,670623,662139,572233,514888,666211,673237,701358",Jeremy Peña; Yordan Alvarez; Isaac Paredes; Daulton Varsho; Christian Walker; Jose Altuve; Taylor Trammell; Yainer Diaz; Cam Smith,,30.208409986859397,94.3276203966006,FF,elite,True,"L3 K9 11.9, stuff whiff 30.2%",savant,False,,6,0.8214285714285714,elite,elite,3.1062314358171683,4.4475412594947485,,"arsenal K% 25.6 (elite solo, +3.1 vs lg, +4.4 vs opp K%, opp K% 21.2; slate #6/28 elite); stuff whiff 30.2% (elite), FF 94.3 mph; pitcher style FLY/popup (FB% 49.2, IFFB% 11.2); stuff ceiling (L3 K9 11.9, stuff whiff 30.2%)",1.0,5.0,25.0,5.0,0.0,2.0,.100,.430,20.0,1,5,5.0,0,0,,2026-06-24 H: 5.2IP 5K
12,Gabriel Hughes,687312,COL,R,TB,TB@COL,7:40 PM CT,2026-08-05T00:40:00Z,ok,prior:2026-08-03,5.766666666666667,24,2.6666666666666665,season_shrunk,starter,20.92471950951905,21.868530251999236,5.068070953978284,5.144759747919289,1.8832247558567148,9,9,1.0,24,,24,2.5890412311836783,0.0,7.767123693551034,4.052009829094656,21.212121,84.31372499999999,42.0289855,39.1304347,7.4074074,8.571429,balanced,,clear,,1.0,,4.333333333333333,7.630434782608696,5.111111111111111,4.88913043478261,0.3,23.472668810289388,0.2349040633868589,4.823151125401929,68.48874598070739,neutral,recent,1.0083382928349574,aggressive,1.0278147909967845,1.0,low,242,151,"650490,666018,691406,656775,683748,802415,680700,700652,670764",Yandy Díaz; Jonathan Aranda; Junior Caminero; Cedric Mullins; Victor Mesa Jr.; Chandler Simpson; Richie Palacios; Kenny Piper; Taylor Walls,,18.215647753434016,92.64469026548673,FF,soft,False,,savant+statcast,False,,16,0.4642857142857143,avg,avg,-1.5752804904809494,-2.5479493007703375,,"arsenal K% 20.9 (avg solo, -1.6 vs lg, -2.5 vs opp K%, opp K% 23.5; slate #16/28 avg); stuff whiff 18.2% (soft), FF 92.6 mph",,,,,,,,,,0,0,,0,0,,
