rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent
1,Reid Detmers,672282,LAA,L,MIN,MIN@LAA,8:38 PM CT,2026-09-20T01:38:00Z,ok,prior:2026-09-18,5.8,23,2.5555555555555554,season_avg,starter,32.172669175349334,30.99978688924867,7.463037312073004,7.390805182660682,2.8955402257814398,9,9,1.0,23,,23,2.3793103448275863,0.9310344827586207,10.293103448275861,3.3712117770622516,28.550933,74.364561,37.5854214,44.1913439,9.2783505,13.228699999999998,whiff,"K% 28.6, Contact% 74.4",clear,,1.0,,8.333333333333334,11.842105263157896,6.333333333333333,7.631578947368421,0.3,24.233128834355828,0.20662520173135285,6.441717791411043,65.6441717791411,neutral,recent,1.048994006315628,free_swing,1.0148662576687117,1.0,low,756,2034,"807712,686797,665019,680777,605137,691181,668904,805805,805346",Luke Keaschall; Brooks Lee; Kody Clemens; Ryan Jeffers; Josh Bell; Emmanuel Rodriguez; Royce Lewis; Walker Jenkins; Ben Ross,29.33477001086563,94.05626477541371,FF,strong,True,"K9 10.3, L3 K9 11.8, stuff whiff 29.3%",savant,False,,1,1.0,elite,elite,9.672669175349334,7.939540340993506,,"arsenal K% 32.2 (elite solo, +9.7 vs lg, +7.9 vs opp K%, opp K% 24.2; slate #1/28 elite); stuff whiff 29.3% (strong), FF 94.1 mph; pitcher style WHIFF (K% 28.6, Contact% 74.4); stuff ceiling (K9 10.3, L3 K9 11.8, stuff whiff 29.3%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 7.5 (≥5.5)",0,trust,7.0,36.0,124.0,8.0,2.0,32.0,.288,.781,29.032258064516128,3,15,5.0,2,10,5.0,2025-09-10 H: 0.2IP 0K; 2025-04-26 A: 2.0IP 2K; 2024-09-09 A: 6.0IP 8K; 2024-04-28 H: 5.0IP 3K; 2023-05-19 H: 5.2IP 12K
2,Tarik Skubal,669373,LAD,L,SF,SF@LAD,8:10 PM CT,2026-09-20T01:10:00Z,ok,prior:2026-09-18,6.111111111111111,24,2.6666666666666665,season_avg,starter,30.603623295853897,27.336051119432355,7.024360902292076,7.415753669941062,2.754326096626851,9,9,1.0,24,,24,1.5340909356913295,0.7977272865594913,10.615909274984,2.6475398473571254,30.244755,70.94827599999999,44.0443213,34.903047,7.9365079000000005,15.447154,whiff,"K% 30.2, Contact% 70.9",clear,,1.0,,6.666666666666667,9.0,6.666666666666667,6.111111111111111,0.3,24.125874125874127,0.23163251310104457,6.993006993006993,65.73426573426573,neutral,recent,1.0408051584380256,free_swing,1.010455944055944,1.0,low,482,1713,"687551,806367,813841,808982,694376,701852,695391,814154,683766",Drew Gilbert; Turner Hill; Jonah Cox; Jung Hoo Lee; Shay Whitcomb; Drew Cavanaugh; Brett Harris; Scott Bandura; Christian Koss,30.16901340996169,96.79111922141118,FF,elite,True,"K9 10.6, stuff whiff 30.2%",savant,False,,2,0.9642857142857143,elite,elite,8.103623295853897,6.47774916997977,,"arsenal K% 30.6 (elite solo, +8.1 vs lg, +6.5 vs opp K%, opp K% 24.1; slate #2/28 elite); stuff whiff 30.2% (elite), FF 96.8 mph; pitcher style WHIFF (K% 30.2, Contact% 70.9); stuff ceiling (K9 10.6, stuff whiff 30.2%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 7.0 (≥5.5)",0,trust,2.0,14.0,39.0,4.0,0.0,6.0,.171,.456,35.8974358974359,1,9,9.0,0,0,,2023-07-24 H: 5.0IP 9K
3,Robert Gasser,688107,MIL,L,BAL,MIL@BAL,3:05 PM CT,2026-09-19T20:05:00Z,ok,prior:2026-09-18,5.296296296296296,23,2.5555555555555554,season_start_est,starter,27.071501850054478,26.024361407155524,6.2036749958939685,6.592551581435829,2.436435166504903,9,9,1.0,23,,23,2.896194010555869,1.307958585412328,8.59515641842387,4.312266540218444,22.06235,80.100125,33.3333333,42.5531914,12.5,15.789474,fly_popup,"FB% 42.6, IFFB% 12.5",medium,"elev_hr,elev_xfip",1.0,,4.666666666666667,9.0,4.666666666666667,5.296296296296296,0.3,31.19533527696793,0.24034325927688927,8.454810495626822,58.309037900874635,whiff_prone,recent,1.07,neutral,0.9986067055393586,1.0,neutral,510,1113,"687637,624413,683002,691723,694212,687952,681297,669236,665750",Dylan Beavers; Pete Alonso; Gunnar Henderson; Coby Mayo; Samuel Basallo; Christian Encarnacion-Strand; Colton Cowser; Jeremiah Jackson; Leody Taveras,21.945226697900218,92.88118279569893,FF,soft,False,,savant+statcast,False,,6,0.8214285714285714,elite,elite,4.571501850054478,-4.123833426913453,THIN_TOTAL,"arsenal K% 27.1 (elite solo, +4.6 vs lg, -4.1 vs opp K%, opp K% 31.2; slate #6/28 elite); stuff whiff 21.9% (soft), FF 92.9 mph; pitcher style FLY/popup (FB% 42.6, IFFB% 12.5); THIN total — Exp K 6.2 with STYLE FLY (BIP outs); O3.5 / thin O4.5 only, do not nuke the number; fly/popup out-getter — BIP outs over Ks; same under cue as GB style",1,thin,,,,,,,,,,0,0,,0,0,,
4,Joe Ryan,657746,MIN,R,LAA,MIN@LAA,8:38 PM CT,2026-09-20T01:38:00Z,ok,prior:2026-09-18,5.264862666666667,23,2.5555555555555554,season_avg,starter,27.643210843051254,27.50560816793946,6.038215255306065,6.764516779008666,2.487888975874613,9,9,1.0,23,,23,1.9526183795646086,1.3466333652169713,9.83042356608389,3.695868073204889,25.886525,77.43957,36.5079365,45.7671957,9.8265895,15.748031000000001,whiff,K% 25.9,low,elev_hr,1.0,,3.6666666666666665,7.425000000000001,4.444444444444444,4.3435117000000005,0.3,27.575757575757574,0.22757592639058155,10.0,60.0,whiff_prone,recent,1.07,three_true,0.99065,0.9847,elevated,1276,963,"687263,545361,642350,687093,694203,672724,518595,695681,685133",Zach Neto; Mike Trout; Jose Siri; Vaughn Grissom; Denzer Guzman; Oswald Peraza; Travis d'Arnaud; Christian Moore; Wade Meckler,25.43839949557313,93.45778443113772,FF,avg,False,,savant+statcast,False,,4,0.8928571428571429,elite,elite,5.1432108430512535,0.06745326729367918,,"arsenal K% 27.6 (elite solo, +5.1 vs lg, +0.1 vs opp K%, opp K% 27.6; slate #4/28 elite); stuff whiff 25.4% (avg), FF 93.5 mph; pitcher style WHIFF (K% 25.9); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.0 (≥5.5)",0,trust,5.0,41.0,119.0,7.0,0.0,28.0,.252,.663,34.45378151260504,3,27,9.0,1,9,9.0,2026-07-11 H: 6.0IP 6K; 2025-04-27 H: 7.0IP 11K; 2023-09-24 H: 6.0IP 10K; 2023-05-19 A: 6.0IP 9K
5,Matthew Boyd,571510,CHC,L,CIN,CHC@CIN,5:40 PM CT,2026-09-19T22:40:00Z,ok,prior:2026-09-18,5.733333333333333,24,2.6666666666666665,season_avg,starter,26.042406194438293,30.190503559355548,5.98951727897707,6.748367002312256,2.343816557499446,9,9,1.0,24,,24,2.747093084182142,1.1773256075066325,6.985465271206019,4.314621076469869,18.776371,79.195402,41.7159763,37.5739644,13.3858267,18.367347000000002,balanced,,low,elev_xfip,1.0,,4.333333333333333,6.622641509433963,5.888888888888888,4.218867924528302,0.3,27.444794952681388,0.21661036003765685,7.255520504731861,64.03785488958991,whiff_prone,recent,1.07,neutral,1.0094003154574132,1.0,neutral,466,1330,"699115,682829,701398,663886,668709,553993,699302,624431,680574",Carlos Jorge; Elly De La Cruz; Sal Stewart; Tyler Stephenson; JJ Bleday; Eugenio Suárez; Héctor Rodríguez; Jose Trevino; Matt McLain,23.05020297133292,92.71725888324873,FF,avg,False,,savant+statcast,True,"K9 7.0, soft L3 4.3, elev_xFIP 4.31",7,0.7857142857142857,strong,elite,3.5424061944382927,-1.4023887582430952,MATCHUP_OK,"soft-contact profile (K9 7.0, soft L3 4.3, elev_xFIP 4.31) but arsenal K% 26.0 (elite solo, +3.5 vs lg, -1.4 vs opp K%, opp K% 27.4; slate #7/28 strong); stuff whiff 23.1% (avg), FF 92.7 mph — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds",0,caution,6.0,26.0,144.0,11.0,4.0,37.0,.291,.840,18.055555555555557,0,0,,2,6,3.0,2026-07-12 A: 6.1IP 3K; 2025-05-23 A: 4.0IP 3K
6,Freddy Peralta,642547,TB,R,BOS,BOS@TB,3:10 PM CT,2026-09-19T20:10:00Z,ok,prior:2026-09-18,5.266666666666667,23,2.5555555555555554,season_avg,starter,27.599130276312103,26.994396199597574,5.980860685585806,6.818036273525942,2.483921724868089,9,9,1.0,23,,23,3.303797548120174,1.310126613909724,8.316455896992162,4.373886788715312,21.313869,76.466108,39.0191897,41.7910447,8.163265299999999,15.010571,balanced,,medium,"elev_hr,elev_xfip",1.0,,4.333333333333333,6.882352941176471,5.666666666666667,4.027450980392157,0.3,24.695121951219512,0.20606985887855098,7.621951219512195,64.63414634146342,neutral,recent,1.0630739986949964,neutral,1.0061024390243902,1.0,neutral,1753,1016,"701350,686765,663330,677800,596115,702332,643396,681987,657136",Roman Anthony; Nick Sogard; Jahmai Jones; Wilyer Abreu; Trevor Story; Caleb Durbin; Isiah Kiner-Falefa; Nate Eaton; Connor Wong,25.219603356216634,94.20171232876713,FF,avg,False,,savant+statcast,False,,5,0.8571428571428571,elite,elite,5.099130276312103,2.9040083250925903,,"arsenal K% 27.6 (elite solo, +5.1 vs lg, +2.9 vs opp K%, opp K% 24.7; slate #5/28 elite); stuff whiff 25.2% (avg), FF 94.2 mph; total caution — Exp K 6.0 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,3.0,16.0,69.0,10.0,3.0,14.0,.246,.814,23.18840579710145,3,16,5.333333333333333,0,0,,2026-07-11 H: 4.1IP 6K; 2025-05-28 H: 5.0IP 6K; 2023-04-21 H: 5.2IP 4K
7,Noah Cameron,702070,KC,L,PIT,KC@PIT,5:40 PM CT,2026-09-19T22:40:00Z,ok,prior:2026-09-18,5.904761904761905,25,2.7777777777777777,season_start_est,starter,23.479354355837977,26.800034980316045,5.700187262931051,5.4636528726145865,2.113141892025418,9,9,1.0,25,,25,2.8136273405461845,0.9198397074862527,8.062124495026568,4.047933001854146,21.531792,76.146076,39.330543899999995,39.5397489,9.523809499999999,15.432099,balanced,,clear,,1.0,,6.0,9.529411764705882,5.666666666666667,6.2521008403361344,0.3,18.53932584269663,0.27476622821392993,8.707865168539326,69.9438202247191,contact_heavy,recent,0.9334769822723602,neutral,0.9963292134831461,1.0,neutral,641,2057,"804606,664040,668804,665833,693304,656811,682927,687462,680779",Konnor Griffin; Brandon Lowe; Bryan Reynolds; Oneil Cruz; Nick Gonzales; Ryan O'Hearn; Ronny Simon; Spencer Horwitz; Henry Davis,26.98218167701863,92.53618320610687,FF,strong,False,,savant,False,,14,0.5357142857142857,avg,strong,0.9793543558379767,4.940028513141346,,"arsenal K% 23.5 (strong solo, +1.0 vs lg, +4.9 vs opp K%, opp K% 18.5; slate #14/28 avg); stuff whiff 27.0% (strong), FF 92.5 mph; total caution — Exp K 5.7 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",1,caution,1.0,7.0,25.0,1.0,1.0,3.0,.125,.410,28.0,1,7,7.0,0,0,,2025-07-07 H: 7.0IP 7K
8,Jackson Jobe,695549,DET,R,CWS,DET@CWS,1:10 PM CT,2026-09-19T18:10:00Z,ok,prior:2026-09-18,4.658026785639176,20,2.2222222222222223,season_avg,starter,28.10441635431785,28.27523148148148,5.677774745872066,5.788883513507327,2.5293974718886063,9,9,1.0,20,,20,3.3750002475885426,1.5576924219639428,8.826923724462342,4.042760089030575,22.972973,81.071429,48.4536082,34.0206185,6.060606,15.463918,balanced,,medium,"high_hr,exit_hr",0.97,exit_hr,6.333333333333333,10.469387755102042,5.444444444444444,5.418520954723125,0.3,32.17665615141956,0.20510131997671097,11.67192429022082,52.05047318611987,whiff_prone,recent,1.07,three_true,0.9814544164037855,0.9696526813880126,elevated,414,175,"678246,502054,545341,808959,805367,691019,686668,695657,671976",Miguel Vargas; Tommy Pham; Randal Grichuk; Munetaka Murakami; Chase Meidroth; Kyle Teel; Brenton Doyle; Colson Montgomery; Tristan Peters,22.173763599257317,97.66995073891626,FF,avg,True,L3 K9 10.5,savant+statcast,False,,3,0.9285714285714286,elite,elite,5.6044163543178485,-4.072239797101709,,"arsenal K% 28.1 (elite solo, +5.6 vs lg, -4.1 vs opp K%, opp K% 32.2; slate #3/28 elite); stuff whiff 22.2% (avg), FF 97.7 mph; stuff ceiling (L3 K9 10.5); total caution — Exp K 5.7 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,3.0,10.0,56.0,5.0,2.0,13.0,.289,.859,17.857142857142858,3,10,3.3333333333333335,0,0,,2026-08-14 H: 3.2IP 4K; 2025-04-06 H: 5.0IP 4K; 2024-09-28 H: 3.0IP 2K
9,Brandon Pfaadt,694297,AZ,R,NYY,NYY@AZ,7:10 PM CT,2026-09-20T00:10:00Z,ok,prior:2026-09-18,6.4770485423494915,27,3.0,season_start_est,starter,25.8491535538886,26.34289787371913,5.566847837452483,6.199453696175865,2.326423819849974,9,9,1.0,27,,27,2.104838806806325,1.016129079147881,6.096774474887285,4.353340445749048,16.374268999999998,80.237581,45.2926208,36.895674299999996,13.793103400000001,14.467005,balanced,,low,elev_xfip,1.0,,4.0,5.684210526315789,6.333333333333333,4.090767500431258,0.3,18.181818181818183,0.2695137032919184,11.143695014662757,69.50146627565982,contact_heavy,recent,0.9350174686051729,patient,0.95,0.9658756598240469,elevated,1021,842,"502671,641355,671218,700250,642708,682987,806146,669224,683011",Paul Goldschmidt; Cody Bellinger; Heliot Ramos; Ben Rice; Amed Rosario; Spencer Jones; George Lombard Jr.; Austin Wells; Anthony Volpe,21.87321524422974,93.17469879518072,FF,soft,False,,savant,True,"K9 6.1, soft L3 4.0, elev_xFIP 4.35",9,0.7142857142857143,strong,elite,3.3491535538885984,7.667335372070415,MATCHUP_OK,"soft-contact profile (K9 6.1, soft L3 4.0, elev_xFIP 4.35) but arsenal K% 25.8 (elite solo, +3.3 vs lg, +7.7 vs opp K%, opp K% 18.2; slate #9/28 strong); stuff whiff 21.9% (soft), FF 93.2 mph — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds",1,caution,1.0,8.0,22.0,0.0,2.0,8.0,.364,1.182,36.36363636363637,0,0,,1,8,8.0,2023-09-22 A: 4.1IP 8K
10,Andrew Painter,691725,PHI,R,NYM,PHI@NYM,3:10 PM CT,2026-09-19T20:10:00Z,ok,prior:2026-09-18,5.364828875842574,24,2.6666666666666665,season_start_est,starter,23.753521442558604,26.832241461570316,5.254247379102901,5.477350882643508,2.137816929830274,9,9,1.0,24,,24,3.3554914774587763,1.4826590249236453,7.803468552229713,4.429975343697144,19.723866,77.61506299999999,41.6430594,39.3767705,10.7913669,19.220056,balanced,,medium,"elev_hr,elev_xfip",1.0,,5.0,7.9411764705882355,5.666666666666667,4.733672537508153,0.3,20.273972602739725,0.26076029250430993,9.04109589041096,68.21917808219177,neutral,recent,0.9707140364629636,neutral,0.9933301369863013,0.9940712328767123,mild,1095,853,"596019,665742,666182,701807,668901,805999,543760,683146,620443",Francisco Lindor; Juan Soto; Bo Bichette; Carson Benge; Mark Vientos; A.J. Ewing; Marcus Semien; Brett Baty; Luis Torrens,24.62568938806217,96.56709062003179,FF,avg,False,,savant+statcast,False,,12,0.6071428571428571,avg,strong,1.253521442558604,3.4795488398188787,,"arsenal K% 23.8 (strong solo, +1.3 vs lg, +3.5 vs opp K%, opp K% 20.3; slate #12/28 avg); stuff whiff 24.6% (avg), FF 96.6 mph",0,,,,,,,,,,,0,0,,0,0,,
11,Bryce Miller,682243,SEA,R,COL,SEA@COL,7:10 PM CT,2026-09-20T00:10:00Z,ok,prior:2026-09-18,5.211452631578947,21,2.3333333333333335,season_start_est,starter,25.42468162720022,26.39011232036326,5.19856637268347,5.0813697053372895,2.2882213464480197,9,9,1.0,21,,21,2.850931812117289,1.6770187130101701,8.888199178953903,3.9696708395719806,24.256293,78.1284,37.5426621,44.7098976,10.6870229,14.576270999999998,balanced,,medium,"high_hr,short_recent_ip,exit_hr",0.9311999999999999,"short_recent_ip,exit_hr",4.666666666666667,9.45,4.444444444444445,5.472025263157893,0.3,21.25340599455041,0.280977173985063,5.994550408719346,70.02724795640327,neutral,recent,0.9596712378388841,aggressive,1.0184435967302452,1.0,low,924,779,"664983,681393,681198,696100,694249,691720,666160,691182,678662",Jake McCarthy; Connor Norby; TJ Rumfield; Hunter Goodman; Cole Carrigg; Kyle Karros; Mickey Moniak; Adael Amador; Ezequiel Tovar,24.781691756855068,95.99142857142857,FF,avg,False,,savant+statcast,False,,10,0.6785714285714286,strong,elite,2.9246816272002185,4.1712756326498095,,"arsenal K% 25.4 (elite solo, +2.9 vs lg, +4.2 vs opp K%, opp K% 21.3; slate #10/28 strong); stuff whiff 24.8% (avg), FF 96.0 mph",0,,1.0,4.0,22.0,1.0,0.0,5.0,.250,.636,18.181818181818183,1,4,4.0,0,0,,2025-09-23 H: 5.2IP 4K
