rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,ticket_outlook,ticket_note
1,Sean Manaea,640455,NYM,L,ATL,ATL@NYM,12:10 PM CT,2026-07-29T17:10:00Z,ok,official,7.0,30,3.3333333333333335,season_start_est,swingman,22.074193152098914,23.744346001286967,6.506323106753681,6.774747295362401,1.9866773836889025,9,9,1.0,30,,30,2.941634459561185,1.2607004826690795,8.824903378683556,4.200167517422233,medium,"elev_hr,elev_xfip",1.0,,4.666666666666667,7.56,5.555555555555556,5.88,0.3,23.931623931623932,0.25651458660611975,8.547008547008547,recent,1.0101306525803093,neutral,0.9977769230769231,1.0,neutral,507,1012,"660670,686948,621566,645277,671739,643289,663586,642201,663698",Ronald Acuña Jr.; Drake Baldwin; Matt Olson; Ozzie Albies; Michael Harris II; Mauricio Dubón; Austin Riley; Eli White; Joey Bart,,False,,15,0.5172413793103449,avg,,"arsenal K% 22.1 (#15/29, avg, opp K% 23.9)"
2,Joey Cantillo,676282,CLE,L,CIN,CLE@CIN,6:10 PM CT,2026-07-29T23:10:00Z,ok,official,4.486363636363637,20,2.2222222222222223,season_avg,starter,29.867905806412832,29.840461220038947,6.43443643274029,6.3783048183904665,2.688111522577155,9,9,1.0,20,,20,4.349544173812731,1.0668693256521793,9.5197570596656,4.108558657132104,medium,high_bb,0.9,,6.666666666666667,13.170731707317074,4.555555555555555,6.565410199556543,0.3,26.0,0.21801025270922375,6.666666666666667,recent,1.055094361009927,free_swing,1.0130666666666666,1.0,low,446,1442,"682829,701398,667472,553993,663886,682622,671155,695490,663647",Elly De La Cruz; Sal Stewart; Dane Myers; Eugenio Suárez; Tyler Stephenson; Noelvi Marte; Ivan Johnson; Edwin Arroyo; Ke'Bryan Hayes,,False,,1,1.0,elite,,"arsenal K% 29.9 (#1/29, elite, opp K% 26.0)"
3,Chris Sale,519242,ATL,L,NYM,ATL@NYM,6:10 PM CT,2026-07-29T23:10:00Z,ok,official,5.5918689989067625,23,2.5555555555555554,season_avg,starter,23.2368903418194,27.687852282820653,5.831552311212015,5.035580498804251,2.091320130763746,9,9,1.0,23,,23,2.108108108108108,0.6486486486486487,10.864864864864865,3.037965400503563,clear,,1.0,,7.333333333333333,12.375,5.333333333333333,7.688819873496798,0.3,24.03560830860534,0.25574428923900294,11.869436201780415,recent,1.0117501364675099,patient,0.95,0.957166765578635,elevated,439,1333,"596019,666182,673357,682626,621438,543760,701807,676572,620443",Francisco Lindor; Bo Bichette; Luis Robert Jr.; Francisco Alvarez; Tyrone Taylor; Marcus Semien; Carson Benge; Eric Wagaman; Luis Torrens,,False,,10,0.6896551724137931,strong,,"arsenal K% 23.2 (#10/29, strong, opp K% 24.0)"
4,Tarik Skubal,669373,DET,L,BAL,BAL@DET,12:10 PM CT,2026-07-29T17:10:00Z,ok,official,6.041666666666667,23,2.5555555555555554,season_avg,starter,21.549851052708682,25.04344008486758,5.801189912281699,4.958332527749366,1.9394865947437814,9,9,1.0,23,,23,1.3,1.0,11.0,2.4098096965087787,clear,,1.0,,9.0,11.571428571428571,7.0,7.767857142857142,0.3,23.384615384615383,0.2246372170901267,8.0,recent,1.0213726075235072,neutral,1.0027,1.0,neutral,312,1027,"621493,624413,683002,641933,687952,691723,665750,669236,644433",Taylor Ward; Pete Alonso; Gunnar Henderson; Tyler O'Neill; Christian Encarnacion-Strand; Coby Mayo; Leody Taveras; Jeremiah Jackson; Chadwick Tromp,,False,,19,0.3793103448275862,soft,,"arsenal K% 21.5 (#19/29, soft, opp K% 23.4)"
5,Jesús Luzardo,666200,PHI,L,MIA,PHI@MIA,11:10 AM CT,2026-07-29T16:10:00Z,ok,official,5.848484848484848,24,2.6666666666666665,season_avg,starter,21.781873057466598,21.26462973265071,5.641452234947572,5.188143098331244,1.960368575171994,9,9,1.0,24,,24,2.7956404432100483,0.8092643388239614,11.182561772840193,2.9207611773226434,clear,,1.0,,7.0,10.30909090909091,6.111111111111111,6.699173553719008,0.3,23.765432098765434,0.23404222581854164,7.716049382716049,recent,1.0205792449356046,neutral,1.0052555555555556,1.0,neutral,485,1546,"672640,681715,689414,669364,691594,669065,665923,640459,805300",Otto Lopez; Heriberto Hernández; Liam Hicks; Xavier Edwards; Javier Sanoja; Kyle Stowers; Esteury Ruiz; Brian Navarreto; Jakob Marsee,,False,,17,0.4482758620689655,avg,,"arsenal K% 21.8 (#17/29, avg, opp K% 23.8)"
6,Cam Schlittler,693645,NYY,R,CWS,NYY@CWS,6:40 PM CT,2026-07-29T23:40:00Z,ok,official,5.80338787878788,23,2.5555555555555554,season_avg,starter,19.368277434882035,23.742962398989896,5.592168056039351,4.461557577104622,1.7431449691393832,9,9,1.0,23,,23,1.7263427783680314,0.8286445336166551,10.841432648151237,2.863654063266765,clear,,1.0,,8.666666666666666,12.763636363636364,6.111111111111111,8.230259173553721,0.3,22.857142857142858,0.23295587844716925,10.0,recent,1.0107314097111997,patient,0.96205,0.9796,elevated,1251,765,"803011,808959,678246,695657,643217,695731,671976,805367,691011",Sam Antonacci; Munetaka Murakami; Miguel Vargas; Colson Montgomery; Andrew Benintendi; Braden Montgomery; Tristan Peters; Chase Meidroth; Drew Romo,,False,,26,0.13793103448275862,soft,,"arsenal K% 19.4 (#26/29, soft, opp K% 22.9)"
7,Joe Ryan,657746,MIN,R,KC,KC@MIN,6:40 PM CT,2026-07-29T23:40:00Z,ok,official,5.444444444444445,22,2.4444444444444446,season_avg,starter,22.59217508375743,22.62473694087792,5.393341684249151,5.234185599347527,2.0332957575381685,9,9,1.0,22,,22,1.9679301167003806,1.2594752746882436,10.311953811509994,3.5648912149216008,low,elev_hr,1.0,,6.0,9.529411764705882,5.666666666666667,5.764705882352941,0.3,23.45679012345679,0.2509496898556214,7.098765432098766,recent,1.0077307569991614,neutral,1.010811111111111,1.0,neutral,1035,862,"695600,657041,695506,521692,686681,679845,686555,668942,686475",Carter Jensen; Lane Thomas; Jac Caglianone; Salvador Perez; Michael Massey; Nick Loftin; Isaac Collins; Josh Rojas; Tyler Tolbert,,False,,12,0.6206896551724138,avg,,"arsenal K% 22.6 (#12/29, avg, opp K% 23.5)"
8,Davis Martin,663436,CWS,R,NYY,NYY@CWS,6:40 PM CT,2026-07-29T23:40:00Z,ok,official,5.55,23,2.5555555555555554,season_avg,starter,24.22719058370974,28.05993086662913,5.374031701987981,6.0554348989438695,2.180447152533876,9,9,1.0,23,,23,2.675675675675676,0.4864864864864865,8.108108108108109,3.8282587757518707,clear,,1.0,,3.3333333333333335,6.136363636363636,4.888888888888889,3.7840909090909087,0.3,27.67295597484277,0.1973815040026951,6.289308176100629,recent,1.07,free_swing,1.016085534591195,1.0,low,1055,693,"663757,700250,691176,502671,682987,665862,641857,676609,669224",Trent Grisham; Ben Rice; Jasson Domínguez; Paul Goldschmidt; Spencer Jones; Jazz Chisholm Jr.; Ryan McMahon; José Caballero; Austin Wells,,False,,6,0.8275862068965517,elite,,"arsenal K% 24.2 (#6/29, elite, opp K% 27.7)"
9,Dustin May,669160,STL,R,CHC,CHC@STL,6:45 PM CT,2026-07-29T23:45:00Z,ok,official,5.095808421052632,22,2.4444444444444446,season_avg,starter,22.29769947613319,23.601675775365052,5.373923422092453,5.056331986447865,2.006792952851987,9,9,1.0,22,,22,2.855769230769231,0.6057692307692307,8.913461538461538,3.8475408143148977,clear,,1.0,,6.0,10.8,5.0,6.114970105263159,0.3,27.894736842105264,0.28735141705006295,10.526315789473685,recent,1.0387461943066758,three_true,0.9877552631578947,0.9799631578947369,elevated,1039,641,"691718,673548,683737,608324,664023,624424,699393,621020,665804",Pete Crow-Armstrong; Seiya Suzuki; Michael Busch; Alex Bregman; Ian Happ; Michael Conforto; Pedro Ramírez; Dansby Swanson; Miguel Amaya,,False,,14,0.5517241379310345,avg,,"arsenal K% 22.3 (#14/29, avg, opp K% 27.9)"
10,Eduardo Rodriguez,593958,AZ,L,PIT,AZ@PIT,11:35 AM CT,2026-07-29T16:35:00Z,ok,official,5.908055911718339,24,2.6666666666666665,season_avg,starter,25.132347254889154,29.433572422596814,5.2990978295576,6.202846816941757,2.2619112529400236,9,9,1.0,24,,24,3.228260936493686,0.9538043676004071,6.309782739510386,4.585318491839474,low,elev_xfip,1.0,,3.0,4.859999999999999,5.555555555555556,3.1903501923279025,0.3,25.14450867052023,0.23614465985211902,8.959537572254336,recent,1.0352822867923173,neutral,0.994064161849711,0.9947236994219654,mild,574,1378,"693304,664040,668804,699013,656811,542303,669707,691373,680779",Nick Gonzales; Brandon Lowe; Bryan Reynolds; Esmerlyn Valdez; Ryan O'Hearn; Marcell Ozuna; Jared Triolo; Jhostynxon Garcia; Henry Davis,,True,"K9 6.3, soft L3 3.0, elev_xFIP 4.59",4,0.896551724137931,elite,MATCHUP_OK,"soft-contact profile (K9 6.3, soft L3 3.0, elev_xFIP 4.59) but arsenal K% 25.1 (#4/29, elite, opp K% 25.1) — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds"
11,Patrick Sandoval,663776,BOS,L,ATH,BOS@ATH,8:40 PM CT,2026-07-30T01:40:00Z,ok,official,5.0,22,2.4444444444444446,season_shrunk,starter,25.12028564485093,27.816631650124364,5.237543320961472,5.492408825863328,2.2608257080365837,9,9,1.0,22,,22,2.571428746593254,0.6428571866483135,8.357143426428074,4.082662062181794,clear,,1.0,,4.333333333333333,8.357142857142858,4.666666666666667,4.642857142857143,0.3,22.0125786163522,0.2206931349976434,4.716981132075472,recent,1.0077634298393465,aggressive,1.0286641509433962,1.0,low,44,181,"805779,701762,695720,691016,641680,687515,703607,671732,675961",Jacob Wilson; Nick Kurtz; Tommy White; Tyler Soderstrom; Jonah Heim; Colby Thomas; Henry Bolte; Lawrence Butler; Alika Williams,statcast_fallback,False,,5,0.8620689655172413,elite,,"arsenal K% 25.1 (#5/29, elite, opp K% 22.0)"
12,Trevor Rogers,669432,BAL,L,DET,BAL@DET,12:10 PM CT,2026-07-29T17:10:00Z,ok,official,5.483333333333333,23,2.5555555555555554,season_avg,starter,22.66883225912803,24.699359695639586,5.186608558555727,4.978406315178132,2.040194903321523,9,9,1.0,23,,23,2.7781351163842087,0.8681672238700652,7.205787958121541,4.491242648289903,low,elev_xfip,1.0,,6.666666666666667,9.310344827586208,6.444444444444444,5.672413793103448,0.3,21.27659574468085,0.281935873674592,6.990881458966565,recent,0.9656161205428042,aggressive,1.0104729483282675,1.0,low,446,1243,"650402,805808,701678,693307,682985,680664,679529,663837,595879",Gleyber Torres; Kevin McGonigle; Hao-Yu Lee; Dillon Dingler; Riley Greene; Eduardo Valencia; Spencer Torkelson; Matt Vierling; Javier Báez,,False,,11,0.6551724137931034,strong,,"arsenal K% 22.7 (#11/29, strong, opp K% 21.3)"
