rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent
1,Jonah Tong,804636,NYM,R,MIA,NYM@MIA,12:10 PM CT,2026-09-07T17:10:00Z,ok,official,5.825929798208956,26,2.888888888888889,season_shrunk,starter,23.921214902158525,26.784353931093065,6.239914492294634,6.239914492294634,2.1529093411942672,9,9,1.0,26,,26,6.300000600814877,0.9000000858306967,6.300000600814877,5.906682422526658,14.893617,77.65957399999999,41.9354838,45.161290300000005,7.1428571,12.121212,balanced,,high,"high_bb,high_xfip,exit_xfip_bb",0.873,exit_xfip_bb,7.0,12.6,5.0,,,22.98507462686567,0.24446110702252064,9.850746268656716,63.582089552238806,whiff_prone,recent,1.0449892008563102,patient,0.9640649253731344,0.9813910447761194,elevated,95,92,"669065,681715,665052,672640,805300,691594,683357,688363,691788",Kyle Stowers; Heriberto Hernández; Griffin Conine; Otto Lopez; Jakob Marsee; Javier Sanoja; Owen Caissie; Graham Pauley; Joe Mack,statcast_fallback,21.795665634674922,95.65764705882354,FF,soft,True,L3 K9 12.6,statcast,True,"K9 6.3, elev_xFIP 5.91",5,0.8181818181818182,elite,strong,1.4212149021585248,0.9361402752928534,MATCHUP_OK,"soft-contact profile (K9 6.3, elev_xFIP 5.91) but arsenal K% 23.9 (strong solo, +1.4 vs lg, +0.9 vs opp K%, opp K% 23.0; slate #5/22 elite); stuff whiff 21.8% (soft), FF 95.7 mph — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds",0,caution,2,8,32,1,0,6,.194,.445,25.0,1,6,6.0,2,9,4.5,2026-09-07 A: 5.0IP 7K; 2026-05-22 A: 3.0IP 2K; 2025-08-29 H: 5.0IP 6K
2,Chase Burns,695505,CIN,R,LAD,CIN@LAD,8:10 PM CT,2026-09-08T01:10:00Z,ok,official,5.262833962843544,22,2.4444444444444446,season_avg,starter,24.399418555597233,27.545577763450105,5.937423005737607,5.334823186562568,2.195947670003751,9,9,1.0,22,,22,3.0963303835923215,0.9288991150776965,10.58944991188574,3.434704279168877,28.885135000000002,71.016949,36.7847411,43.0517711,15.8227848,14.363144,whiff,"K% 28.9, Contact% 71.0, FB% 43.1, IFFB% 15.8",clear,,1.0,,6.666666666666667,12.55813953488372,4.777777777777778,7.3434892504793625,0.3,22.15568862275449,0.23424527179632382,13.173652694610778,61.377245508982035,whiff_prone,recent,1.058678203009003,patient,0.95,0.9415161676646706,elevated,1552,850,"660271,518692,669242,571970,606192,663656,676439,669743,690976",Shohei Ohtani; Freddie Freeman; Tommy Edman; Max Muncy; Teoscar Hernández; Kyle Tucker; Hunter Feduccia; Alex Call; Alex Freeland,,31.49758948267274,97.64167289021657,FF,elite,True,"K9 10.6, L3 K9 12.6, stuff whiff 31.5%",savant+statcast,False,,4,0.8636363636363636,elite,elite,1.899418555597233,2.2437299328427436,,"arsenal K% 24.4 (elite solo, +1.9 vs lg, +2.2 vs opp K%, opp K% 22.2; slate #4/22 elite); stuff whiff 31.5% (elite), FF 97.6 mph; pitcher style WHIFF (K% 28.9, Contact% 71.0, FB% 43.1, IFFB% 15.8); stuff ceiling (K9 10.6, L3 K9 12.6, stuff whiff 31.5%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 5.9 (≥5.5)",0,trust,1,10,26,1,0,6,.250,.655,38.46153846153846,1,10,10.0,0,0,,2025-07-28 H: 5.2IP 10K
3,Brayan Bello,678394,BOS,R,LAA,LAA@BOS,12:35 PM CT,2026-09-07T17:35:00Z,ok,official,7.0,30,3.3333333333333335,season_start_est,swingman,17.99211823115679,22.13297549747368,5.808501471688139,5.89785924526877,1.619290640804111,9,9,1.0,30,,30,3.040955710582426,1.0136519035274754,6.450512113356662,4.126536871982518,16.203704,77.777778,52.97805639999999,25.7053291,2.4390243,10.216718,contact_gb,GB% 53.0,clear,,1.0,,4.0,7.2,5.0,5.6000000000000005,0.3,24.6875,0.2246480651105211,6.875,64.375,neutral,recent,1.0606817337223697,free_swing,1.0114,1.0,low,895,738,"687263,545361,685133,687093,694208,695681,666139,677347,623168",Zach Neto; Mike Trout; Wade Meckler; Vaughn Grissom; Moisés Ballesteros; Christian Moore; Josh Lowe; Kyren Paris; Tyler Heineman,,23.472333766570316,95.2533846153846,SI,avg,False,,savant+statcast,True,"K9 6.5, soft L3 4.0",19,0.18181818181818182,soft,soft,-4.507881768843209,-6.695381768843209,FILLER,"soft-contact (K9 6.5, soft L3 4.0) + arsenal K% 18.0 (soft solo, -4.5 vs lg, -6.7 vs opp K%, opp K% 24.7; slate #19/22 soft); stuff whiff 23.5% (avg), SI 95.3 mph; pitcher style GB/contact (GB% 53.0) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds; weak under — only 1/2 confirms (GB/FLY style); need 1 more of GB/FLY · contact-heavy · Exp K ≤4.2 (or take U6.5+ / pass); GB/contact out-getter — soft matchup strengthens under; elite mix alone is not a nuke over without length; also swingman — fade full-outing chalk",1,,4,23,95,5,4,26,.299,.795,24.210526315789473,4,24,6.0,1,6,6.0,2026-09-07 H: 5.0IP 7K; 2025-06-03 H: 6.0IP 4K; 2024-04-14 H: 5.1IP 8K; 2023-05-23 A: 7.0IP 6K; 2023-04-17 H: 2.2IP 5K
4,Jesús Luzardo,666200,PHI,L,ATL,ATL@PHI,12:05 PM CT,2026-09-07T17:05:00Z,ok,official,6.160919540229885,25,2.7777777777777777,season_avg,starter,20.900703496265024,23.16664494038708,5.789256827255547,5.125191584575441,1.8810633146638522,9,9,1.0,25,,25,2.705304680863157,0.7956778473126933,11.08644467255686,2.9640776043906545,29.985653,70.532168,47.9713603,33.6515513,9.2198581,16.393442999999998,whiff,"K% 30.0, Contact% 70.5",clear,,1.0,,9.0,10.720588235294118,7.555555555555556,7.338742393509127,0.3,23.14540059347181,0.2461624589702561,5.044510385756676,70.32640949554896,neutral,recent,0.9855484060289493,aggressive,1.0260439169139466,1.0,low,633,2118,"660670,686948,645277,621566,657041,671739,643289,663586,673490",Ronald Acuña Jr.; Drake Baldwin; Ozzie Albies; Matt Olson; Lane Thomas; Michael Harris II; Mauricio Dubón; Austin Riley; Ha-Seong Kim,,31.757033805888764,96.84824684431977,FF,elite,True,"K9 11.1, L3 K9 10.7, stuff whiff 31.8%",savant,False,,12,0.5,avg,avg,-1.5992965037349762,-2.2446970972067852,,"arsenal K% 20.9 (avg solo, -1.6 vs lg, -2.2 vs opp K%, opp K% 23.1; slate #12/22 avg); stuff whiff 31.8% (elite), FF 96.8 mph; pitcher style WHIFF (K% 30.0, Contact% 70.5); stuff ceiling (K9 11.1, L3 K9 10.7, stuff whiff 31.8%)",0,,10,67,228,23,3,50,.248,.711,29.385964912280702,5,36,7.2,2,13,6.5,2026-09-07 H: 9.0IP 12K; 2025-08-31 H: 6.2IP 7K; 2025-06-28 A: 5.0IP 7K; 2025-04-10 A: 6.0IP 6K; 2024-04-14 H: 5.0IP 4K; 2023-09-17 H: 6.0IP 8K; 2023-05-04 H: 5.2IP 5K
5,Dylan Cease,656302,TOR,R,ATH,TOR@ATH,9:05 PM CT,2026-09-08T02:05:00Z,ok,official,5.712179487179487,23,2.5555555555555554,season_avg,starter,23.34690860896045,27.202465450277366,5.607117021679163,5.387227613387816,2.1012217748064406,9,9,1.0,23,,23,3.742004386137432,0.5756929824826819,12.72281491286727,2.7600482248412175,35.530547,69.345485,42.5981873,37.1601208,16.2601626,21.921922,whiff,"K% 35.5, Contact% 69.3",low,elev_bb,0.95,,6.666666666666667,9.642857142857142,6.222222222222222,6.1201923076923075,0.3,23.18435754189944,0.27108973258100266,7.5418994413407825,67.0391061452514,neutral,recent,1.0093113657374309,neutral,1.006822905027933,1.0,neutral,1591,1042,"703607,643446,680869,671732,666126,691777,622268,675961,641680",Henry Bolte; Jeff McNeil; Zack Gelof; Lawrence Butler; Carlos Cortes; Max Muncy; Donovan Walton; Alika Williams; Jonah Heim,,33.82117299958658,97.05180226570546,FF,elite,True,"K9 12.7, stuff whiff 33.8%",savant+statcast,False,,7,0.7272727272727273,strong,strong,0.846908608960451,0.16255106706100975,,"arsenal K% 23.3 (strong solo, +0.8 vs lg, +0.2 vs opp K%, opp K% 23.2; slate #7/22 strong); stuff whiff 33.8% (elite), FF 97.1 mph; pitcher style WHIFF (K% 35.5, Contact% 69.3); stuff ceiling (K9 12.7, stuff whiff 33.8%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 5.6 (≥5.5)",0,trust,8,56,195,21,4,46,.267,.762,28.71794871794872,3,26,8.666666666666666,2,9,4.5,2026-03-28 H: 5.1IP 12K; 2025-04-08 A: 4.0IP 4K; 2024-06-10 H: 6.0IP 8K; 2023-08-25 H: 4.1IP 6K; 2023-07-01 A: 5.1IP 5K
6,Joey Cantillo,676282,CLE,L,BAL,CLE@BAL,12:35 PM CT,2026-09-07T17:35:00Z,ok,official,4.32,19,2.111111111111111,season_avg,starter,33.19748880650282,30.99120658747757,5.593815043637276,6.636460515300639,2.9877739925852533,9,9,1.0,19,,19,4.5741179755082415,1.0164706612240537,9.592941865302006,4.0638183523228815,24.473258,71.415525,45.0520833,36.9791666,10.5633802,15.345269,balanced,,medium,high_bb,0.9,,3.3333333333333335,6.585365853658537,4.555555555555555,3.160975609756098,0.3,26.94610778443114,0.2307935678957223,8.682634730538922,62.275449101796404,whiff_prone,recent,1.07,neutral,0.9965562874251497,1.0,neutral,589,1870,"677942,624413,702616,691723,683002,687952,694212,677956,687637",Blaze Alexander; Pete Alonso; Jackson Holliday; Coby Mayo; Gunnar Henderson; Christian Encarnacion-Strand; Samuel Basallo; Rece Hinds; Dylan Beavers,,29.071257624883224,92.18573170731706,FF,strong,True,stuff whiff 29.1%,savant+statcast,False,,1,1.0,elite,elite,10.697488806502818,6.25138102207168,,"arsenal K% 33.2 (elite solo, +10.7 vs lg, +6.3 vs opp K%, opp K% 26.9; slate #1/22 elite); stuff whiff 29.1% (strong), FF 92.2 mph; stuff ceiling (stuff whiff 29.1%); total caution — Exp K 5.6 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,6,20,81,12,3,18,.273,.877,24.691358024691358,3,15,5.0,3,5,1.6666666666666667,2026-09-07 A: 2.1IP 3K; 2026-04-19 H: 4.2IP 6K; 2025-07-22 H: 5.0IP 5K; 2025-04-16 A: 0.1IP 1K; 2025-04-15 A: 0.2IP 1K; 2024-08-03 H: 4.0IP 4K
7,Matthew Boyd,571510,CHC,L,MIL,CHC@MIL,1:10 PM CT,2026-09-07T18:10:00Z,ok,official,5.754385964912281,24,2.6666666666666665,season_avg,starter,23.354239854135436,25.25801198383994,5.3175403855604815,5.578714563104175,2.101881586872189,9,9,1.0,24,,24,2.726384500330052,1.3192183066113154,6.947883081486262,4.3751215431320745,18.676123,79.230769,42.3841059,38.410596000000005,12.068965500000001,18.627451,balanced,,medium,"elev_hr,elev_xfip",1.0,,5.0,7.363636363636364,6.111111111111111,4.708133971291867,0.3,22.922636103151863,0.2862438445031568,8.595988538681949,65.0429799426934,neutral,recent,1.0207398984730647,neutral,0.9973361031518625,1.0,neutral,413,1195,"694192,668930,661388,683734,592885,800325,806198,669003,687401",Jackson Chourio; Brice Turang; William Contreras; Andrew Vaughn; Christian Yelich; Luis Lara; Cooper Pratt; Garrett Mitchell; Joey Ortiz,,23.227318778803266,92.75694249649368,FF,avg,False,,savant+statcast,True,"K9 6.9, elev_xFIP 4.38",6,0.7727272727272727,strong,strong,0.8542398541354359,0.43160375098357306,MATCHUP_OK,"soft-contact profile (K9 6.9, elev_xFIP 4.38) but arsenal K% 23.4 (strong solo, +0.9 vs lg, +0.4 vs opp K%, opp K% 22.9; slate #6/22 strong); stuff whiff 23.2% (avg), FF 92.8 mph — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds",0,,7,27,152,18,9,41,.311,.974,17.763157894736842,2,6,3.0,3,17,5.666666666666667,2026-09-07 A: 7.0IP 7K; 2026-09-01 H: 5.1IP 3K; 2025-08-19 H: 5.1IP 3K; 2025-07-28 A: 5.0IP 2K; 2023-04-24 A: 5.0IP 8K
8,Emmet Sheehan,686218,LAD,R,CIN,CIN@LAD,8:10 PM CT,2026-09-08T01:10:00Z,ok,official,4.49497324719764,20,2.2222222222222223,season_avg,starter,26.645601859549508,30.014546753877703,5.315941192803014,5.371412735609868,2.3981041673594556,9,9,1.0,20,,20,2.8321679832708178,1.8881119888472118,10.195804739774944,3.971276102651096,26.213592000000002,70.941176,34.090909,46.590909,11.3821138,14.285713999999999,whiff,"K% 26.2, Contact% 70.9, FB% 46.6, IFFB% 11.4",medium,"high_hr,exit_hr",0.97,exit_hr,5.0,10.384615384615385,4.333333333333333,5.186507592920354,0.3,24.48377581120944,0.2852443926821371,10.619469026548673,62.24188790560472,whiff_prone,recent,1.0625915566967223,patient,0.9536871681415929,0.972166371681416,elevated,961,737,"699302,682829,701398,668709,663886,553993,680574,699115,663647",Héctor Rodríguez; Elly De La Cruz; Sal Stewart; JJ Bleday; Tyler Stephenson; Eugenio Suárez; Matt McLain; Carlos Jorge; Ke'Bryan Hayes,,30.56420222886654,94.41473829201102,FF,elite,True,"K9 10.2, L3 K9 10.4, stuff whiff 30.6%",savant+statcast,False,,3,0.9090909090909091,elite,elite,4.145601859549508,2.1618260483400675,,"arsenal K% 26.6 (elite solo, +4.1 vs lg, +2.2 vs opp K%, opp K% 24.5; slate #3/22 elite); stuff whiff 30.6% (elite), FF 94.4 mph; pitcher style WHIFF (K% 26.2, Contact% 70.9, FB% 46.6, IFFB% 11.4); stuff ceiling (K9 10.2, L3 K9 10.4, stuff whiff 30.6%); K-first arm — confirms overs / SPIKE caution on soft unders",0,,3,20,58,5,0,5,.094,.342,34.48275862068966,2,15,7.5,1,5,5.0,2025-08-25 H: 7.0IP 10K; 2025-07-30 A: 3.2IP 5K; 2023-07-29 H: 5.0IP 5K
9,Eury Pérez,691587,MIA,R,NYM,NYM@MIA,12:10 PM CT,2026-09-07T17:10:00Z,ok,official,4.695661280017942,19,2.111111111111111,season_avg,starter,26.870154403803454,27.98797466479438,5.161384622325011,5.130988767557775,2.4183138963423105,9,9,1.0,19,,19,3.923645467660292,1.1305419144105926,9.64285750526682,4.154055845768123,26.079137000000003,72.743056,37.5366568,45.161290300000005,12.9870129,15.988372,whiff,"K% 26.1, Contact% 72.7, FB% 45.2, IFFB% 13.0",medium,"elev_bb,short_recent_ip",0.8835,short_recent_ip,4.333333333333333,10.028571428571427,3.8888888888888893,5.232308283448563,0.3,23.323615160349853,0.24494258428153728,9.329446064139942,66.1807580174927,neutral,recent,1.0250354909558548,neutral,0.9907349854227405,0.9917644314868804,mild,1316,953,"596019,665742,666182,701807,543760,805999,682626,683146,703492",Francisco Lindor; Juan Soto; Bo Bichette; Carson Benge; Marcus Semien; A.J. Ewing; Francisco Alvarez; Brett Baty; Nick Morabito,,29.43948737539185,98.21529548088066,FF,strong,True,"L3 K9 10.0, stuff whiff 29.4%",savant+statcast,False,,2,0.9545454545454546,elite,elite,4.370154403803454,3.5465392434536014,,"arsenal K% 26.9 (elite solo, +4.4 vs lg, +3.5 vs opp K%, opp K% 23.3; slate #2/22 elite); stuff whiff 29.4% (strong), FF 98.2 mph; pitcher style WHIFF (K% 26.1, Contact% 72.7, FB% 45.2, IFFB% 13.0); stuff ceiling (L3 K9 10.0, stuff whiff 29.4%); K-first arm — confirms overs / SPIKE caution on soft unders",0,,5,24,88,10,5,14,.182,.663,27.272727272727273,4,23,5.75,2,6,3.0,2026-09-07 H: 4.0IP 5K; 2026-07-30 A: 6.0IP 6K; 2026-05-22 H: 6.1IP 5K; 2025-09-27 H: 5.1IP 11K; 2025-08-29 A: 0.2IP 0K; 2023-09-20 H: 3.0IP 2K
10,Joe Ryan,657746,MIN,R,DET,MIN@DET,2:10 PM CT,2026-09-07T19:10:00Z,ok,official,5.402777777777778,23,2.5555555555555554,season_avg,starter,21.1770103940547,21.14673759416447,5.120780086807432,5.20126968922801,1.905930935464923,9,9,1.0,23,,23,1.933687041784778,1.2175066559385639,9.883289324677754,3.6192035462469487,26.386232999999997,77.576336,35.7142857,46.5714285,10.4294478,15.864023,whiff,K% 26.4,low,elev_hr,1.0,,4.666666666666667,8.217391304347826,5.111111111111111,4.932971014492754,0.3,27.692307692307693,0.21812366175815803,6.461538461538462,62.15384615384615,whiff_prone,recent,1.07,free_swing,1.0147076923076923,1.0,low,1159,930,"690993,805808,650402,682985,693307,656716,679529,703601,807726",Colt Keith; Kevin McGonigle; Gleyber Torres; Riley Greene; Dillon Dingler; Zach McKinstry; Spencer Torkelson; Max Clark; John Peck,,25.37309302947949,93.44186778593915,FF,avg,False,,savant+statcast,False,,10,0.5909090909090909,avg,avg,-1.322989605945299,-6.515297298252992,,"arsenal K% 21.2 (avg solo, -1.3 vs lg, -6.5 vs opp K%, opp K% 27.7; slate #10/22 avg); stuff whiff 25.4% (avg), FF 93.4 mph; pitcher style WHIFF (K% 26.4)",0,,11,85,252,12,6,48,.205,.600,33.73015873015873,3,20,6.666666666666667,3,27,9.0,2026-09-07 A: 4.0IP 7K; 2026-04-06 H: 5.0IP 7K; 2024-07-27 A: 6.0IP 8K; 2024-04-19 H: 5.1IP 6K; 2024-04-13 A: 6.0IP 12K; 2023-06-16 H: 7.0IP 7K
11,Trevor Rogers,669432,BAL,L,CLE,CLE@BAL,12:35 PM CT,2026-09-07T17:35:00Z,ok,official,5.617283950617284,23,2.5555555555555554,season_avg,starter,17.568039920227076,20.790949245214517,4.849190696902691,3.8864796087749394,1.5811235928204368,9,9,1.0,23,,23,2.3071594346523305,0.997690566336143,8.23094717227318,3.9994453201707714,21.890546999999998,78.787879,39.0186915,42.523364400000006,13.7362637,15.777262,fly_popup,"FB% 42.5, IFFB% 13.7",clear,,1.0,,8.0,11.368421052631579,6.333333333333333,7.09551656920078,0.3,16.558441558441558,0.21531035675962001,6.4935064935064934,74.02597402597402,contact_heavy,recent,0.9299999999999999,aggressive,1.014451948051948,1.0,low,598,1738,"680757,666176,608070,682657,681807,694197,595978,690984,677587",Steven Kwan; Jo Adell; José Ramírez; Angel Martínez; David Fry; Angel Genao; Austin Hedges; Petey Halpin; Brayan Rocchio,,23.645582970112088,93.79600742804084,FF,avg,True,L3 K9 11.4,savant+statcast,False,,21,0.09090909090909091,soft,soft,-4.931960079772924,1.0095983617855175,SPIKE,"arsenal K% 17.6 (soft solo, -4.9 vs lg, +1.0 vs opp K%, opp K% 16.6; slate #21/22 soft); stuff whiff 23.6% (avg), FF 93.8 mph; pitcher style FLY/popup (FB% 42.5, IFFB% 13.7); SPIKE (L3 K9 11.4) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; fly/popup out-getter — BIP outs over Ks; same under cue as GB style",2,,4,19,92,9,4,20,.250,.776,20.652173913043477,2,11,5.5,2,8,4.0,2026-09-07 H: 7.1IP 6K; 2026-04-19 A: 5.0IP 5K; 2024-08-01 A: 4.1IP 3K; 2024-06-09 H: 5.0IP 5K
12,Jacob Lopez,682052,ATH,L,TOR,TOR@ATH,9:05 PM CT,2026-09-08T02:05:00Z,ok,prior:2026-09-06,4.452299999999999,20,2.2222222222222223,season_start_est,starter,22.693575704316917,25.02894346007518,4.7755807638197725,4.352915376885391,2.0424218133885224,9,9,1.0,20,,20,4.45714310003788,1.4571429365508453,8.828571909690416,5.00267485350839,22.103004000000002,76.184971,31.7880794,52.317880699999996,13.924050600000001,24.429967,fly_popup,"FB% 52.3, IFFB% 13.9",high,"high_bb,elev_hr,high_xfip,exit_xfip_bb",0.873,exit_xfip_bb,7.333333333333333,11.647058823529411,5.666666666666667,5.761799999999998,0.3,19.745222929936304,0.2663774992714838,8.280254777070065,67.8343949044586,neutral,recent,0.9672209118063329,neutral,1.0001777070063693,1.0,neutral,497,1394,"703520,664770,665489,660821,672960,815873,669701,665926,678218",Brett Bateman; Nathan Lukes; Vladimir Guerrero Jr.; Jesús Sánchez; Kazuma Okamoto; Sean Keys; Josh Smith; Andrés Giménez; Brandon Valenzuela,,25.908765523316944,90.36201550387597,FF,avg,True,L3 K9 11.6,savant+statcast,False,,8,0.6818181818181818,strong,strong,0.19357570431691684,2.948352774380613,,"arsenal K% 22.7 (strong solo, +0.2 vs lg, +2.9 vs opp K%, opp K% 19.7; slate #8/22 strong); stuff whiff 25.9% (avg), FF 90.4 mph; pitcher style FLY/popup (FB% 52.3, IFFB% 13.9); stuff ceiling (L3 K9 11.6)",1,,3,9,60,5,3,18,.333,1.048,15.0,1,5,5.0,2,4,2.0,2025-07-12 H: 5.0IP 5K; 2025-05-29 A: 1.2IP 0K; 2023-10-01 A: 5.1IP 4K
13,Noah Cameron,702070,KC,L,AZ,AZ@KC,1:10 PM CT,2026-09-07T18:10:00Z,ok,official,5.901234567901235,25,2.7777777777777777,season_start_est,starter,17.202488994249897,23.610938245112063,4.710102394251042,4.199617176972388,1.5482240094824908,9,9,1.0,25,,25,2.857451498058855,0.9330453871212586,8.047516463920855,4.076828032543871,21.329212000000002,75.801012,38.8392857,39.7321428,8.988764,15.570175,balanced,,clear,,1.0,,5.666666666666667,9.0,5.666666666666667,5.901234567901235,0.3,21.428571428571427,0.22549867873528587,7.440476190476191,68.75,neutral,recent,0.9868753303161785,neutral,1.0077357142857144,1.0,neutral,614,1900,"672695,606466,672515,571448,666971,545121,694374,691783,814439",Geraldo Perdomo; Ketel Marte; Gabriel Moreno; Nolan Arenado; Lourdes Gurriel Jr.; Ildemaro Vargas; Tim Tawa; Jordan Lawlar; Ryan Waldschmidt,,27.159466221851545,92.52455284552846,FF,strong,False,,savant,False,,22,0.045454545454545456,soft,soft,-5.297511005750103,-4.22608243432153,,"arsenal K% 17.2 (soft solo, -5.3 vs lg, -4.2 vs opp K%, opp K% 21.4; slate #22/22 soft); stuff whiff 27.2% (strong), FF 92.5 mph; weak under — only 0/2 confirms (none); need 2 more of GB/FLY · contact-heavy · Exp K ≤4.2 (or take U6.5+ / pass)",0,,1,7,22,2,0,3,.150,.377,31.818181818181817,1,7,7.0,0,0,,2026-09-07 H: 6.0IP 7K
14,Logan Webb,657277,SF,R,STL,STL@SF,7:10 PM CT,2026-09-08T00:10:00Z,ok,official,5.5676,23,2.5555555555555554,season_avg,starter,21.083078376575095,24.297275437486874,4.704794329522885,4.707850827889836,1.8974770538917585,9,9,1.0,23,,23,2.2850778733462778,0.6614699107055014,7.155901761268606,3.827943623374705,19.162641,81.600736,50.669642800000005,29.6875,7.518796899999999,15.707964999999998,contact_gb,GB% 50.7,low,short_recent_ip,0.93,short_recent_ip,3.0,7.59375,3.5555555555555554,4.6976625,0.3,22.822822822822822,0.3052095726482784,6.306306306306307,68.16816816816817,neutral,recent,0.9868237329640566,aggressive,1.0159495495495496,1.0,low,1395,902,"663494,671056,676475,691023,699024,669357,695491,695336,701675",Bryan Torres; Iván Herrera; Alec Burleson; Jordan Walker; Leo Bernal; Nolan Gorman; Joshua Báez; Thomas Saggese; Nathan Church,,20.29098824553766,92.04811463046758,SI,soft,False,,savant,True,"K9 7.2, soft L3 3.0",11,0.5454545454545454,avg,avg,-1.416921623424905,-1.7397444462477267,FILLER,"soft-contact (K9 7.2, soft L3 3.0) + arsenal K% 21.1 (avg solo, -1.4 vs lg, -1.7 vs opp K%, opp K% 22.8; slate #11/22 avg); stuff whiff 20.3% (soft), SI 92.0 mph; pitcher style GB/contact (GB% 50.7) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds; GB/contact out-getter — soft matchup strengthens under; elite mix alone is not a nuke over without length",1,,8,38,190,13,4,55,.314,.794,20.0,2,12,6.0,2,14,7.0,2025-09-23 H: 6.0IP 5K; 2024-06-23 A: 6.0IP 8K; 2023-06-12 A: 7.0IP 6K; 2023-04-27 H: 6.2IP 7K
15,Michael McGreevy,700241,STL,R,SF,STL@SF,7:10 PM CT,2026-09-08T00:10:00Z,ok,official,5.3000509241418685,22,2.4444444444444446,season_avg,starter,20.25105751232731,22.64874265404815,4.233925937691394,4.418946862881977,1.822595176109458,9,9,1.0,22,,22,2.4434389983799103,1.2217194991899551,6.230769445868771,4.25521522440194,16.776315999999998,82.58427,43.4782608,36.304347799999995,5.3892215,13.118279999999999,balanced,,medium,"elev_hr,elev_xfip",1.0,,3.6666666666666665,6.4565217391304355,5.111111111111111,3.8022104455800365,0.3,20.809248554913296,0.26666791681192437,10.693641618497109,64.73988439306359,neutral,recent,1.0061711710860362,patient,0.9526858381502891,0.9712763005780347,elevated,1550,849,"806367,646240,805811,813841,808982,678545,668800,694376,683766",Turner Hill; Rafael Devers; Bryce Eldridge; Jonah Cox; Jung Hoo Lee; Osleivis Basabe; Andrew Knizner; Shay Whitcomb; Christian Koss,,19.651813018785496,91.83853989813242,FF,soft,False,,savant,True,"K9 6.2, soft L3 3.7, elev_xFIP 4.26",15,0.36363636363636365,soft,avg,-2.2489424876726893,-0.5581910425859853,FILLER,"soft-contact (K9 6.2, soft L3 3.7, elev_xFIP 4.26) + arsenal K% 20.3 (avg solo, -2.2 vs lg, -0.6 vs opp K%, opp K% 20.8; slate #15/22 soft); stuff whiff 19.7% (soft), FF 91.8 mph — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds",0,,3,11,75,4,4,20,.286,.820,14.666666666666666,1,3,3.0,2,8,4.0,2025-09-22 A: 5.0IP 2K; 2025-09-05 H: 4.0IP 3K; 2024-09-29 A: 8.0IP 6K
